epoc (ms),timestamp (+0300),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1744040481099,2025-04-07T18.41.21.099,0.000,-0.000349062,0.000065188,-0.000250062
1744040481138,2025-04-07T18.41.21.138,0.039,-0.000349813,0.000065188,-0.000249312
1744040481178,2025-04-07T18.41.21.178,0.079,-0.000349813,0.000065938,-0.000249375
1744040481217,2025-04-07T18.41.21.217,0.118,-0.000350500,0.000065562,-0.000251250
1744040481258,2025-04-07T18.41.21.258,0.159,-0.000350188,0.000066313,-0.000250563
1744040481298,2025-04-07T18.41.21.298,0.199,-0.000350500,0.000065562,-0.000248937
1744040481337,2025-04-07T18.41.21.337,0.238,-0.000349813,0.000065188,-0.000250250
1744040481377,2025-04-07T18.41.21.377,0.278,-0.000350938,0.000065562,-0.000250625
1744040481417,2025-04-07T18.41.21.417,0.318,-0.000350563,0.000065188,-0.000250250
1744040481456,2025-04-07T18.41.21.456,0.357,-0.000350563,0.000065188,-0.000250625
1744040481497,2025-04-07T18.41.21.497,0.398,-0.000351313,0.000064812,-0.000250688
1744040481537,2025-04-07T18.41.21.537,0.438,-0.000349813,0.000065562,-0.000250250
1744040481576,2025-04-07T18.41.21.576,0.477,-0.000350188,0.000065188,-0.000249875
1744040481616,2025-04-07T18.41.21.616,0.517,-0.000350938,0.000065562,-0.000249875
1744040481655,2025-04-07T18.41.21.655,0.556,-0.000350188,0.000065562,-0.000251125
1744040481695,2025-04-07T18.41.21.695,0.596,-0.000350188,0.000065938,-0.000249562
1744040481736,2025-04-07T18.41.21.736,0.637,-0.000351687,0.000066313,-0.000249187
1744040481775,2025-04-07T18.41.21.775,0.676,-0.000350938,0.000066687,-0.000249187
1744040481815,2025-04-07T18.41.21.815,0.716,-0.000350188,0.000064500,-0.000250375
1744040481855,2025-04-07T18.41.21.855,0.756,-0.000350938,0.000064438,-0.000249937
1744040481894,2025-04-07T18.41.21.894,0.795,-0.000350563,0.000065188,-0.000250312
1744040481934,2025-04-07T18.41.21.934,0.835,-0.000350188,0.000065938,-0.000250000
1744040481975,2025-04-07T18.41.21.975,0.876,-0.000350188,0.000064812,-0.000250375
1744040482014,2025-04-07T18.41.22.014,0.915,-0.000350938,0.000064812,-0.000249562
1744040482054,2025-04-07T18.41.22.054,0.955,-0.000350938,0.000065562,-0.000249875
1744040482093,2025-04-07T18.41.22.093,0.994,-0.000350188,0.000065562,-0.000250000
1744040482133,2025-04-07T18.41.22.133,1.034,-0.000351687,0.000065188,-0.000250750
1744040482172,2025-04-07T18.41.22.172,1.073,-0.000349813,0.000065188,-0.000251188
1744040482213,2025-04-07T18.41.22.213,1.114,-0.000350563,0.000065562,-0.000250000
1744040482253,2025-04-07T18.41.22.253,1.154,-0.000350563,0.000064812,-0.000249625
1744040482293,2025-04-07T18.41.22.293,1.194,-0.000350938,0.000065188,-0.000250312
1744040482332,2025-04-07T18.41.22.332,1.233,-0.000350563,0.000065188,-0.000250375
1744040482372,2025-04-07T18.41.22.372,1.273,-0.000350938,0.000065938,-0.000250875
1744040482411,2025-04-07T18.41.22.411,1.312,-0.000351687,0.000065188,-0.000250375
1744040482452,2025-04-07T18.41.22.452,1.353,-0.000350938,0.000065188,-0.000250500
1744040482492,2025-04-07T18.41.22.492,1.393,-0.000351687,0.000064812,-0.000249625
1744040482531,2025-04-07T18.41.22.531,1.432,-0.000350188,0.000065562,-0.000250375
1744040482571,2025-04-07T18.41.22.571,1.472,-0.000349813,0.000065938,-0.000250000
1744040482610,2025-04-07T18.41.22.610,1.511,-0.000351687,0.000064500,-0.000250000
1744040482650,2025-04-07T18.41.22.650,1.551,-0.000350188,0.000065562,-0.000250438
1744040482690,2025-04-07T18.41.22.690,1.591,-0.000350938,0.000064812,-0.000250813
1744040482731,2025-04-07T18.41.22.731,1.632,-0.000350188,0.000065188,-0.000250750
1744040482770,2025-04-07T18.41.22.770,1.671,-0.000349813,0.000065562,-0.000252375
1744040482810,2025-04-07T18.41.22.810,1.711,-0.000350563,0.000065562,-0.000249250
1744040482849,2025-04-07T18.41.22.849,1.750,-0.000350188,0.000065188,-0.000251188
1744040482889,2025-04-07T18.41.22.889,1.790,-0.000349813,0.000065188,-0.000250375
1744040482928,2025-04-07T18.41.22.928,1.829,-0.000351687,0.000065188,-0.000249937
1744040482969,2025-04-07T18.41.22.969,1.870,-0.000350938,0.000064500,-0.000250375
1744040483009,2025-04-07T18.41.23.009,1.910,-0.000350250,0.000065562,-0.000249312
1744040483048,2025-04-07T18.41.23.048,1.949,-0.000350563,0.000065562,-0.000250062
1744040483088,2025-04-07T18.41.23.088,1.989,-0.000350188,0.000065938,-0.000250813
1744040483128,2025-04-07T18.41.23.128,2.029,-0.000350938,0.000064500,-0.000250062
1744040483167,2025-04-07T18.41.23.167,2.068,-0.000349875,0.000065188,-0.000250875
1744040483208,2025-04-07T18.41.23.208,2.109,-0.000351687,0.000065938,-0.000250375
1744040483248,2025-04-07T18.41.23.248,2.149,-0.000350938,0.000066313,-0.000251250
1744040483287,2025-04-07T18.41.23.287,2.188,-0.000350938,0.000065188,-0.000250062
1744040483327,2025-04-07T18.41.23.327,2.228,-0.000351687,0.000064812,-0.000250062
1744040483366,2025-04-07T18.41.23.366,2.267,-0.000350563,0.000064812,-0.000251125
1744040483406,2025-04-07T18.41.23.406,2.307,-0.000351313,0.000065938,-0.000250375
1744040483447,2025-04-07T18.41.23.447,2.348,-0.000349500,0.000065188,-0.000250438
1744040483486,2025-04-07T18.41.23.486,2.387,-0.000350938,0.000065562,-0.000251250
1744040483526,2025-04-07T18.41.23.526,2.427,-0.000350188,0.000065188,-0.000251938
1744040483566,2025-04-07T18.41.23.566,2.467,-0.000350563,0.000065562,-0.000249562
1744040483605,2025-04-07T18.41.23.605,2.506,-0.000350188,0.000064812,-0.000250375
1744040483645,2025-04-07T18.41.23.645,2.546,-0.000350563,0.000065562,-0.000251188
1744040483686,2025-04-07T18.41.23.686,2.587,-0.000350563,0.000065562,-0.000251250
1744040483725,2025-04-07T18.41.23.725,2.626,-0.000350188,0.000065188,-0.000249187
1744040483765,2025-04-07T18.41.23.765,2.666,-0.000350938,0.000065562,-0.000250062
1744040483804,2025-04-07T18.41.23.804,2.705,-0.000351313,0.000065562,-0.000250875
1744040483844,2025-04-07T18.41.23.844,2.745,-0.000350938,0.000065188,-0.000250438
1744040483883,2025-04-07T18.41.23.883,2.784,-0.000350938,0.000065938,-0.000250438
1744040483924,2025-04-07T18.41.23.924,2.825,-0.000350563,0.000065188,-0.000250375
1744040483964,2025-04-07T18.41.23.964,2.865,-0.000351687,0.000066313,-0.000249687
1744040484003,2025-04-07T18.41.24.003,2.904,-0.000350563,0.000065562,-0.000250000
1744040484043,2025-04-07T18.41.24.043,2.944,-0.000350563,0.000065562,-0.000250813
1744040484083,2025-04-07T18.41.24.083,2.984,-0.000350563,0.000064812,-0.000251188
1744040484122,2025-04-07T18.41.24.122,3.023,-0.000349875,0.000065562,-0.000249750
1744040484162,2025-04-07T18.41.24.162,3.063,-0.000350938,0.000064812,-0.000250000
1744040484203,2025-04-07T18.41.24.203,3.104,-0.000350563,0.000064812,-0.000250000
1744040484242,2025-04-07T18.41.24.242,3.143,-0.000350250,0.000065938,-0.000250875
1744040484282,2025-04-07T18.41.24.282,3.183,-0.000350563,0.000065938,-0.000249562
1744040484321,2025-04-07T18.41.24.321,3.222,-0.000351313,0.000065562,-0.000249562
1744040484361,2025-04-07T18.41.24.361,3.262,-0.000350938,0.000065562,-0.000250500
1744040484400,2025-04-07T18.41.24.400,3.301,-0.000351313,0.000065188,-0.000250062
1744040484441,2025-04-07T18.41.24.441,3.342,-0.000351313,0.000064812,-0.000250062
1744040484481,2025-04-07T18.41.24.481,3.382,-0.000350563,0.000064812,-0.000250312
1744040484521,2025-04-07T18.41.24.521,3.422,-0.000350938,0.000066313,-0.000250062
1744040484560,2025-04-07T18.41.24.560,3.461,-0.000350563,0.000065188,-0.000250062
1744040484600,2025-04-07T18.41.24.600,3.501,-0.000351687,0.000065188,-0.000251563
1744040484639,2025-04-07T18.41.24.639,3.540,-0.000351313,0.000065938,-0.000250062
1744040484680,2025-04-07T18.41.24.680,3.581,-0.000352062,0.000064500,-0.000250000
1744040484720,2025-04-07T18.41.24.720,3.621,-0.000350938,0.000065188,-0.000249562
1744040484759,2025-04-07T18.41.24.759,3.660,-0.000350938,0.000065188,-0.000250000
1744040484799,2025-04-07T18.41.24.799,3.700,-0.000351687,0.000064812,-0.000249687
1744040484838,2025-04-07T18.41.24.838,3.739,-0.000350250,0.000064500,-0.000250500
1744040484878,2025-04-07T18.41.24.878,3.779,-0.000352062,0.000065562,-0.000250062
1744040484919,2025-04-07T18.41.24.919,3.820,-0.000350563,0.000065562,-0.000249562
1744040484959,2025-04-07T18.41.24.959,3.860,-0.000350938,0.000064500,-0.000250062
1744040484998,2025-04-07T18.41.24.998,3.899,-0.000350938,0.000065188,-0.000250375
1744040485038,2025-04-07T18.41.25.038,3.939,-0.000351687,0.000064812,-0.000250062
1744040485077,2025-04-07T18.41.25.077,3.978,-0.000350938,0.000065562,-0.000250875
1744040485117,2025-04-07T18.41.25.117,4.018,-0.000350938,0.000065562,-0.000251250
1744040485156,2025-04-07T18.41.25.156,4.057,-0.000350938,0.000065188,-0.000249687
1744040485197,2025-04-07T18.41.25.197,4.098,-0.000351313,0.000065188,-0.000250500
1744040485237,2025-04-07T18.41.25.237,4.138,-0.000351687,0.000064812,-0.000249687
1744040485276,2025-04-07T18.41.25.276,4.177,-0.000350563,0.000064812,-0.000249312
1744040485316,2025-04-07T18.41.25.316,4.217,-0.000350250,0.000065562,-0.000251313
1744040485356,2025-04-07T18.41.25.356,4.257,-0.000351000,0.000065188,-0.000250187
1744040485395,2025-04-07T18.41.25.395,4.296,-0.000352062,0.000065562,-0.000250062
1744040485436,2025-04-07T18.41.25.436,4.337,-0.000350625,0.000065188,-0.000249750
1744040485476,2025-04-07T18.41.25.476,4.377,-0.000351313,0.000065188,-0.000249687
