epoc (ms),timestamp (+0300),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1744041761239,2025-04-07T19.02.41.239,0.000,-0.000345687,0.000066313,-0.000245000
1744041761279,2025-04-07T19.02.41.279,0.040,-0.000346438,0.000065188,-0.000245937
1744041761318,2025-04-07T19.02.41.318,0.079,-0.000346438,0.000065938,-0.000244812
1744041761358,2025-04-07T19.02.41.358,0.119,-0.000346063,0.000065938,-0.000244062
1744041761398,2025-04-07T19.02.41.398,0.159,-0.000346063,0.000066313,-0.000245937
1744041761437,2025-04-07T19.02.41.437,0.198,-0.000345687,0.000066687,-0.000244750
1744041761478,2025-04-07T19.02.41.478,0.239,-0.000345000,0.000067063,-0.000245625
1744041761518,2025-04-07T19.02.41.518,0.279,-0.000346063,0.000066687,-0.000246375
1744041761557,2025-04-07T19.02.41.557,0.318,-0.000346063,0.000066687,-0.000246813
1744041761597,2025-04-07T19.02.41.597,0.358,-0.000345375,0.000067063,-0.000246125
1744041761636,2025-04-07T19.02.41.636,0.397,-0.000345312,0.000066687,-0.000246000
1744041761677,2025-04-07T19.02.41.677,0.438,-0.000346438,0.000066687,-0.000246500
1744041761717,2025-04-07T19.02.41.717,0.478,-0.000345375,0.000067063,-0.000247250
1744041761756,2025-04-07T19.02.41.756,0.517,-0.000346125,0.000066687,-0.000246187
1744041761796,2025-04-07T19.02.41.796,0.557,-0.000346125,0.000067063,-0.000246187
1744041761836,2025-04-07T19.02.41.836,0.597,-0.000345750,0.000067063,-0.000246187
1744041761875,2025-04-07T19.02.41.875,0.636,-0.000346125,0.000066313,-0.000246563
1744041761916,2025-04-07T19.02.41.916,0.677,-0.000345375,0.000066313,-0.000246187
1744041761956,2025-04-07T19.02.41.956,0.717,-0.000347188,0.000067063,-0.000246187
1744041761995,2025-04-07T19.02.41.995,0.756,-0.000346125,0.000066313,-0.000245812
1744041762035,2025-04-07T19.02.42.035,0.796,-0.000345375,0.000067063,-0.000245812
1744041762074,2025-04-07T19.02.42.074,0.835,-0.000346125,0.000066687,-0.000247000
1744041762115,2025-04-07T19.02.42.115,0.876,-0.000345750,0.000067437,-0.000246563
1744041762155,2025-04-07T19.02.42.155,0.916,-0.000346500,0.000066687,-0.000247000
1744041762194,2025-04-07T19.02.42.194,0.955,-0.000346125,0.000067063,-0.000246563
1744041762234,2025-04-07T19.02.42.234,0.995,-0.000346125,0.000067063,-0.000247813
1744041762273,2025-04-07T19.02.42.273,1.034,-0.000346125,0.000067437,-0.000246563
1744041762313,2025-04-07T19.02.42.313,1.074,-0.000345000,0.000067437,-0.000246563
1744041762354,2025-04-07T19.02.42.354,1.115,-0.000345750,0.000067063,-0.000247063
1744041762394,2025-04-07T19.02.42.394,1.155,-0.000344625,0.000067063,-0.000247063
1744041762433,2025-04-07T19.02.42.433,1.194,-0.000346500,0.000067437,-0.000247438
1744041762473,2025-04-07T19.02.42.473,1.234,-0.000345750,0.000067063,-0.000245812
1744041762512,2025-04-07T19.02.42.512,1.273,-0.000344625,0.000067437,-0.000246563
1744041762552,2025-04-07T19.02.42.552,1.313,-0.000346875,0.000066313,-0.000247063
1744041762593,2025-04-07T19.02.42.593,1.354,-0.000345375,0.000067750,-0.000245812
1744041762632,2025-04-07T19.02.42.632,1.393,-0.000345750,0.000066313,-0.000247063
1744041762672,2025-04-07T19.02.42.672,1.433,-0.000345375,0.000067437,-0.000246250
1744041762711,2025-04-07T19.02.42.711,1.472,-0.000345375,0.000067437,-0.000245875
1744041762751,2025-04-07T19.02.42.751,1.512,-0.000344625,0.000067063,-0.000245000
1744041762791,2025-04-07T19.02.42.791,1.552,-0.000345375,0.000066313,-0.000245812
1744041762832,2025-04-07T19.02.42.832,1.593,-0.000344625,0.000067437,-0.000247438
1744041762871,2025-04-07T19.02.42.871,1.632,-0.000345375,0.000066313,-0.000246312
1744041762911,2025-04-07T19.02.42.911,1.672,-0.000345000,0.000067063,-0.000246125
1744041762950,2025-04-07T19.02.42.950,1.711,-0.000345000,0.000066313,-0.000246312
1744041762990,2025-04-07T19.02.42.990,1.751,-0.000344250,0.000066313,-0.000247813
1744041763029,2025-04-07T19.02.43.029,1.790,-0.000345000,0.000067063,-0.000245812
1744041763070,2025-04-07T19.02.43.070,1.831,-0.000344687,0.000067437,-0.000245875
1744041763110,2025-04-07T19.02.43.110,1.871,-0.000346125,0.000066313,-0.000247063
1744041763149,2025-04-07T19.02.43.149,1.910,-0.000345062,0.000067063,-0.000246312
1744041763189,2025-04-07T19.02.43.189,1.950,-0.000345750,0.000067063,-0.000246312
1744041763229,2025-04-07T19.02.43.229,1.990,-0.000346500,0.000067437,-0.000245437
1744041763268,2025-04-07T19.02.43.268,2.029,-0.000344687,0.000066313,-0.000246312
1744041763309,2025-04-07T19.02.43.309,2.070,-0.000345000,0.000066687,-0.000247438
1744041763349,2025-04-07T19.02.43.349,2.110,-0.000345062,0.000067063,-0.000245562
1744041763388,2025-04-07T19.02.43.388,2.149,-0.000345750,0.000067063,-0.000245875
1744041763428,2025-04-07T19.02.43.428,2.189,-0.000345000,0.000067063,-0.000246563
1744041763467,2025-04-07T19.02.43.467,2.228,-0.000346125,0.000067063,-0.000245875
1744041763507,2025-04-07T19.02.43.507,2.268,-0.000345750,0.000066687,-0.000247063
1744041763548,2025-04-07T19.02.43.548,2.309,-0.000345750,0.000067063,-0.000247938
1744041763587,2025-04-07T19.02.43.587,2.348,-0.000346125,0.000067063,-0.000247563
1744041763627,2025-04-07T19.02.43.627,2.388,-0.000345375,0.000067063,-0.000246688
1744041763667,2025-04-07T19.02.43.667,2.428,-0.000345750,0.000068125,-0.000246312
1744041763706,2025-04-07T19.02.43.706,2.467,-0.000345750,0.000067437,-0.000246312
1744041763746,2025-04-07T19.02.43.746,2.507,-0.000344625,0.000067063,-0.000245812
1744041763787,2025-04-07T19.02.43.787,2.548,-0.000345000,0.000067437,-0.000246312
1744041763826,2025-04-07T19.02.43.826,2.587,-0.000345375,0.000066687,-0.000247500
1744041763866,2025-04-07T19.02.43.866,2.627,-0.000344625,0.000066313,-0.000246312
1744041763905,2025-04-07T19.02.43.905,2.666,-0.000345750,0.000067437,-0.000246563
1744041763945,2025-04-07T19.02.43.945,2.706,-0.000344625,0.000066687,-0.000246312
1744041763984,2025-04-07T19.02.43.984,2.745,-0.000344687,0.000066687,-0.000246688
1744041764025,2025-04-07T19.02.44.025,2.786,-0.000345000,0.000066687,-0.000247438
1744041764065,2025-04-07T19.02.44.065,2.826,-0.000345750,0.000067063,-0.000246750
1744041764105,2025-04-07T19.02.44.105,2.866,-0.000344687,0.000067063,-0.000245875
1744041764144,2025-04-07T19.02.44.144,2.905,-0.000345750,0.000067063,-0.000246312
1744041764184,2025-04-07T19.02.44.184,2.945,-0.000344625,0.000066687,-0.000247000
1744041764223,2025-04-07T19.02.44.223,2.984,-0.000345750,0.000067437,-0.000246625
1744041764264,2025-04-07T19.02.44.264,3.025,-0.000346500,0.000067750,-0.000247063
1744041764304,2025-04-07T19.02.44.304,3.065,-0.000345375,0.000067063,-0.000245875
1744041764343,2025-04-07T19.02.44.343,3.104,-0.000345000,0.000066687,-0.000246625
1744041764383,2025-04-07T19.02.44.383,3.144,-0.000345750,0.000067063,-0.000245937
1744041764422,2025-04-07T19.02.44.422,3.183,-0.000344687,0.000066313,-0.000246750
1744041764462,2025-04-07T19.02.44.462,3.223,-0.000344625,0.000067063,-0.000246625
1744041764503,2025-04-07T19.02.44.503,3.264,-0.000345812,0.000067437,-0.000247625
1744041764543,2025-04-07T19.02.44.543,3.304,-0.000344687,0.000066687,-0.000246688
1744041764582,2025-04-07T19.02.44.582,3.343,-0.000345750,0.000068500,-0.000247063
1744041764622,2025-04-07T19.02.44.622,3.383,-0.000345750,0.000066687,-0.000246688
1744041764661,2025-04-07T19.02.44.661,3.422,-0.000345750,0.000067063,-0.000247063
1744041764701,2025-04-07T19.02.44.701,3.462,-0.000345437,0.000067063,-0.000248750
1744041764742,2025-04-07T19.02.44.742,3.503,-0.000345750,0.000067750,-0.000246688
1744041764781,2025-04-07T19.02.44.781,3.542,-0.000345437,0.000067063,-0.000246750
1744041764821,2025-04-07T19.02.44.821,3.582,-0.000346125,0.000066687,-0.000246750
1744041764860,2025-04-07T19.02.44.860,3.621,-0.000346500,0.000067437,-0.000247000
1744041764900,2025-04-07T19.02.44.900,3.661,-0.000345375,0.000067437,-0.000247063
1744041764940,2025-04-07T19.02.44.940,3.701,-0.000346125,0.000067750,-0.000247438
1744041764979,2025-04-07T19.02.44.979,3.740,-0.000346125,0.000068125,-0.000246688
1744041765020,2025-04-07T19.02.45.020,3.781,-0.000346125,0.000068875,-0.000247125
1744041765060,2025-04-07T19.02.45.060,3.821,-0.000345437,0.000067437,-0.000246437
1744041765099,2025-04-07T19.02.45.099,3.860,-0.000345062,0.000067750,-0.000247125
1744041765139,2025-04-07T19.02.45.139,3.900,-0.000346125,0.000067750,-0.000247500
1744041765178,2025-04-07T19.02.45.178,3.939,-0.000345375,0.000066687,-0.000246312
1744041765218,2025-04-07T19.02.45.218,3.979,-0.000345375,0.000067750,-0.000247438
1744041765259,2025-04-07T19.02.45.259,4.020,-0.000345812,0.000067437,-0.000246813
1744041765298,2025-04-07T19.02.45.298,4.059,-0.000345375,0.000068125,-0.000247438
1744041765338,2025-04-07T19.02.45.338,4.099,-0.000346500,0.000067063,-0.000247438
1744041765378,2025-04-07T19.02.45.378,4.139,-0.000345375,0.000067750,-0.000247875
1744041765417,2025-04-07T19.02.45.417,4.178,-0.000345750,0.000067063,-0.000247500
1744041765457,2025-04-07T19.02.45.457,4.218,-0.000346125,0.000067063,-0.000246750
1744041765498,2025-04-07T19.02.45.498,4.259,-0.000346500,0.000066687,-0.000247063
1744041765537,2025-04-07T19.02.45.537,4.298,-0.000345375,0.000067750,-0.000247438
1744041765577,2025-04-07T19.02.45.577,4.338,-0.000345375,0.000067750,-0.000247125
1744041765616,2025-04-07T19.02.45.616,4.377,-0.000346125,0.000066687,-0.000245812
1744041765656,2025-04-07T19.02.45.656,4.417,-0.000342813,0.000067437,-0.000245437
1744041765695,2025-04-07T19.02.45.695,4.456,-0.000343563,0.000067063,-0.000245875
1744041765736,2025-04-07T19.02.45.736,4.497,-0.000343938,0.000067437,-0.000247125
1744041765776,2025-04-07T19.02.45.776,4.537,-0.000343188,0.000066687,-0.000247125
1744041765815,2025-04-07T19.02.45.815,4.576,-0.000343188,0.000067437,-0.000247938
1744041765855,2025-04-07T19.02.45.855,4.616,-0.000342438,0.000066313,-0.000246688
1744041765895,2025-04-07T19.02.45.895,4.656,-0.000339125,0.000066313,-0.000245125
1744041765934,2025-04-07T19.02.45.934,4.695,-0.000338813,0.000066313,-0.000244812
1744041765975,2025-04-07T19.02.45.975,4.736,-0.000339125,0.000065938,-0.000246187
1744041766015,2025-04-07T19.02.46.015,4.776,-0.000339125,0.000065562,-0.000245125
1744041766054,2025-04-07T19.02.46.054,4.815,-0.000340625,0.000065562,-0.000245125
1744041766094,2025-04-07T19.02.46.094,4.855,-0.000340250,0.000065188,-0.000246688
1744041766133,2025-04-07T19.02.46.133,4.894,-0.000340625,0.000065938,-0.000246312
1744041766173,2025-04-07T19.02.46.173,4.934,-0.000341000,0.000065938,-0.000246750
1744041766214,2025-04-07T19.02.46.214,4.975,-0.000340250,0.000065188,-0.000245812
1744041766253,2025-04-07T19.02.46.253,5.014,-0.000339875,0.000065188,-0.000246312
