epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1744041121532,2025-04-07T18.52.01.532,0.000,1.829,-0.701,-0.457
1744041121551,2025-04-07T18.52.01.551,0.019,1.982,-0.427,-0.274
1744041121572,2025-04-07T18.52.01.572,0.040,1.067,-0.945,-0.671
1744041121592,2025-04-07T18.52.01.592,0.060,1.189,-0.610,-0.762
1744041121613,2025-04-07T18.52.01.613,0.081,0.518,-0.793,-0.945
1744041121633,2025-04-07T18.52.01.633,0.101,0.091,0.183,-0.762
1744041121654,2025-04-07T18.52.01.654,0.122,-0.091,0.000,-0.854
1744041121673,2025-04-07T18.52.01.673,0.141,-0.030,-1.006,-1.189
1744041121693,2025-04-07T18.52.01.693,0.161,1.402,-0.854,-0.884
1744041121714,2025-04-07T18.52.01.714,0.182,0.884,-0.183,-0.488
1744041121734,2025-04-07T18.52.01.734,0.202,1.982,-0.061,-0.793
1744041121755,2025-04-07T18.52.01.755,0.223,3.171,0.549,-0.427
1744041121774,2025-04-07T18.52.01.774,0.242,1.951,0.305,-0.244
1744041121794,2025-04-07T18.52.01.794,0.262,2.073,-0.274,-0.701
1744041121815,2025-04-07T18.52.01.815,0.283,2.165,-0.671,-0.915
1744041121835,2025-04-07T18.52.01.835,0.303,0.061,-0.671,-0.976
1744041121856,2025-04-07T18.52.01.856,0.324,1.433,-0.122,-1.220
1744041121876,2025-04-07T18.52.01.876,0.344,0.701,-0.122,-1.067
1744041121896,2025-04-07T18.52.01.896,0.364,-0.213,-0.244,-0.518
1744041121916,2025-04-07T18.52.01.916,0.384,-0.945,0.274,-0.091
1744041121937,2025-04-07T18.52.01.937,0.405,1.433,-0.061,-0.823
1744041121957,2025-04-07T18.52.01.957,0.425,2.530,-0.488,-0.915
1744041121978,2025-04-07T18.52.01.978,0.446,-0.396,-0.976,0.152
1744041121998,2025-04-07T18.52.01.998,0.466,-0.579,-0.457,0.762
1744041122017,2025-04-07T18.52.02.017,0.485,0.610,0.762,0.610
1744041122038,2025-04-07T18.52.02.038,0.506,0.335,1.006,0.671
1744041122058,2025-04-07T18.52.02.058,0.526,0.305,0.305,0.457
1744041122079,2025-04-07T18.52.02.079,0.547,0.122,0.305,0.091
1744041122099,2025-04-07T18.52.02.099,0.567,-1.098,0.427,0.061
1744041122120,2025-04-07T18.52.02.120,0.588,-0.152,0.762,0.244
1744041122139,2025-04-07T18.52.02.139,0.607,1.220,1.860,0.884
1744041122159,2025-04-07T18.52.02.159,0.627,-0.061,1.616,1.311
1744041122180,2025-04-07T18.52.02.180,0.648,0.091,1.037,1.311
1744041122200,2025-04-07T18.52.02.200,0.668,1.189,1.799,1.555
1744041122221,2025-04-07T18.52.02.221,0.689,2.591,2.012,0.884
1744041122240,2025-04-07T18.52.02.240,0.708,1.921,1.128,0.000
1744041122260,2025-04-07T18.52.02.260,0.728,0.945,0.610,-0.244
1744041122281,2025-04-07T18.52.02.281,0.749,0.732,0.640,0.396
1744041122301,2025-04-07T18.52.02.301,0.769,0.396,0.183,1.311
1744041122322,2025-04-07T18.52.02.322,0.790,0.091,-0.091,2.165
1744041122342,2025-04-07T18.52.02.342,0.810,0.427,-0.549,1.890
1744041122361,2025-04-07T18.52.02.361,0.829,0.884,-1.860,1.006
1744041122382,2025-04-07T18.52.02.382,0.850,2.591,-1.646,0.732
1744041122402,2025-04-07T18.52.02.402,0.870,2.805,-1.463,1.098
1744041122423,2025-04-07T18.52.02.423,0.891,1.494,-2.378,1.250
1744041122443,2025-04-07T18.52.02.443,0.911,1.860,-2.348,1.159
1744041122464,2025-04-07T18.52.02.464,0.932,0.793,-1.738,1.128
1744041122483,2025-04-07T18.52.02.483,0.951,-0.183,-1.341,0.945
1744041122503,2025-04-07T18.52.02.503,0.971,0.091,-0.884,0.213
1744041122524,2025-04-07T18.52.02.524,0.992,0.366,-0.274,-0.213
1744041122544,2025-04-07T18.52.02.544,1.012,-0.305,-0.244,-0.305
1744041122565,2025-04-07T18.52.02.565,1.033,-1.250,-0.183,0.000
1744041122585,2025-04-07T18.52.02.585,1.053,-0.945,-0.396,-0.091
1744041122605,2025-04-07T18.52.02.605,1.073,-0.732,-0.305,0.213
1744041122625,2025-04-07T18.52.02.625,1.093,-1.524,-0.183,0.457
1744041122646,2025-04-07T18.52.02.646,1.114,-0.701,-0.732,0.000
1744041122666,2025-04-07T18.52.02.666,1.134,0.732,-1.646,-0.732
1744041122687,2025-04-07T18.52.02.687,1.155,0.854,-1.707,-0.366
1744041122706,2025-04-07T18.52.02.706,1.174,0.030,-1.189,0.518
1744041122726,2025-04-07T18.52.02.726,1.194,-0.640,-0.823,1.037
1744041122747,2025-04-07T18.52.02.747,1.215,-0.213,-1.311,0.701
1744041122767,2025-04-07T18.52.02.767,1.235,-0.884,-1.646,0.335
1744041122788,2025-04-07T18.52.02.788,1.256,0.091,-0.457,0.061
1744041122808,2025-04-07T18.52.02.808,1.276,0.335,0.213,0.000
1744041122827,2025-04-07T18.52.02.827,1.295,0.061,0.213,0.305
1744041122848,2025-04-07T18.52.02.848,1.316,-0.183,-0.122,0.793
1744041122868,2025-04-07T18.52.02.868,1.336,-0.640,-0.732,0.640
1744041122889,2025-04-07T18.52.02.889,1.357,-0.457,-0.854,0.518
1744041122909,2025-04-07T18.52.02.909,1.377,0.213,-0.366,0.549
1744041122930,2025-04-07T18.52.02.930,1.398,0.823,-0.457,0.183
1744041122949,2025-04-07T18.52.02.949,1.417,1.037,-1.098,-0.732
1744041122969,2025-04-07T18.52.02.969,1.437,0.030,-0.915,-0.183
1744041122990,2025-04-07T18.52.02.990,1.458,-0.579,-0.549,0.671
1744041123010,2025-04-07T18.52.03.010,1.478,-0.061,-1.067,0.915
1744041123031,2025-04-07T18.52.03.031,1.499,-0.518,-1.585,0.579
1744041123051,2025-04-07T18.52.03.051,1.519,-0.457,-0.884,0.610
1744041123070,2025-04-07T18.52.03.070,1.538,-1.860,0.244,1.402
1744041123091,2025-04-07T18.52.03.091,1.559,-1.494,0.854,2.073
1744041123111,2025-04-07T18.52.03.111,1.579,-0.945,-0.305,2.439
1744041123132,2025-04-07T18.52.03.132,1.600,-2.012,-0.579,3.140
1744041123152,2025-04-07T18.52.03.152,1.620,-3.140,0.030,3.902
1744041123171,2025-04-07T18.52.03.171,1.639,-3.140,0.732,4.634
1744041123192,2025-04-07T18.52.03.192,1.660,-1.982,0.213,4.085
1744041123212,2025-04-07T18.52.03.212,1.680,-1.372,-0.457,3.079
1744041123233,2025-04-07T18.52.03.233,1.701,-2.043,-1.402,2.012
1744041123253,2025-04-07T18.52.03.253,1.721,-1.006,-1.098,0.579
1744041123274,2025-04-07T18.52.03.274,1.742,0.335,-0.671,-0.366
1744041123293,2025-04-07T18.52.03.293,1.761,-0.305,-0.854,-0.823
1744041123314,2025-04-07T18.52.03.314,1.782,-0.457,-1.341,-1.250
1744041123334,2025-04-07T18.52.03.334,1.802,-1.951,-1.372,-1.189
1744041123355,2025-04-07T18.52.03.355,1.823,-0.762,0.244,-1.128
1744041123375,2025-04-07T18.52.03.375,1.843,-0.488,0.732,-0.854
1744041123396,2025-04-07T18.52.03.396,1.864,-0.640,-0.945,-0.671
1744041123415,2025-04-07T18.52.03.415,1.883,-0.335,-2.134,-0.549
1744041123435,2025-04-07T18.52.03.435,1.903,-1.799,-0.579,-0.427
1744041123456,2025-04-07T18.52.03.456,1.924,-0.183,1.067,-0.701
1744041123476,2025-04-07T18.52.03.476,1.944,-0.152,1.616,-0.335
1744041123497,2025-04-07T18.52.03.497,1.965,-0.274,0.854,-0.823
1744041123517,2025-04-07T18.52.03.517,1.985,0.793,-0.061,-1.768
1744041123536,2025-04-07T18.52.03.536,2.004,-0.671,0.671,-1.585
1744041123557,2025-04-07T18.52.03.557,2.025,0.183,0.671,-1.433
1744041123577,2025-04-07T18.52.03.577,2.045,0.518,0.701,-0.854
1744041123598,2025-04-07T18.52.03.598,2.066,0.427,-0.061,-1.220
1744041123618,2025-04-07T18.52.03.618,2.086,0.366,-0.213,-1.433
1744041123637,2025-04-07T18.52.03.637,2.105,-0.610,-0.427,-0.854
1744041123658,2025-04-07T18.52.03.658,2.126,-0.122,-0.366,-0.274
1744041123678,2025-04-07T18.52.03.678,2.146,-0.549,0.671,0.213
1744041123699,2025-04-07T18.52.03.699,2.167,-1.463,0.915,0.457
1744041123719,2025-04-07T18.52.03.719,2.187,-1.616,1.189,-0.061
1744041123740,2025-04-07T18.52.03.740,2.208,-0.671,2.134,0.091
1744041123759,2025-04-07T18.52.03.759,2.227,-2.317,1.982,0.884
1744041123779,2025-04-07T18.52.03.779,2.247,-2.927,1.341,1.128
1744041123800,2025-04-07T18.52.03.800,2.268,-1.707,1.555,1.098
1744041123820,2025-04-07T18.52.03.820,2.288,-1.006,2.073,1.220
1744041123841,2025-04-07T18.52.03.841,2.309,-1.677,2.500,1.890
1744041123861,2025-04-07T18.52.03.861,2.329,-2.591,2.530,2.317
1744041123880,2025-04-07T18.52.03.880,2.348,-2.348,3.079,2.439
1744041123901,2025-04-07T18.52.03.901,2.369,-3.293,6.098,3.476
1744041123921,2025-04-07T18.52.03.921,2.389,-2.744,10.152,5.000
1744041123942,2025-04-07T18.52.03.942,2.410,-2.439,13.780,6.402
1744041123962,2025-04-07T18.52.03.962,2.430,-3.750,15.518,4.909
1744041123981,2025-04-07T18.52.03.981,2.449,-2.713,15.854,3.750
1744041124002,2025-04-07T18.52.04.002,2.470,-3.110,17.134,4.421
1744041124022,2025-04-07T18.52.04.022,2.490,-2.713,20.732,6.463
1744041124043,2025-04-07T18.52.04.043,2.511,-1.311,22.134,6.890
1744041124064,2025-04-07T18.52.04.064,2.532,-1.677,23.872,6.494
1744041124084,2025-04-07T18.52.04.084,2.552,-3.902,29.207,7.195
1744041124103,2025-04-07T18.52.04.103,2.571,-0.335,34.756,6.860
1744041124124,2025-04-07T18.52.04.124,2.592,0.244,28.933,0.640
1744041124144,2025-04-07T18.52.04.144,2.612,-1.524,21.067,-4.604
1744041124165,2025-04-07T18.52.04.165,2.633,-2.134,17.165,-4.634
1744041124185,2025-04-07T18.52.04.185,2.653,-0.030,11.341,-3.018
1744041124206,2025-04-07T18.52.04.206,2.674,1.433,6.707,-3.445
1744041124225,2025-04-07T18.52.04.225,2.693,2.256,1.921,-3.841
1744041124245,2025-04-07T18.52.04.245,2.713,1.982,-0.579,-2.317
1744041124266,2025-04-07T18.52.04.266,2.734,3.293,-1.220,-0.671
1744041124286,2025-04-07T18.52.04.286,2.754,3.780,-1.098,0.366
1744041124307,2025-04-07T18.52.04.307,2.775,5.213,-2.835,-0.091
1744041124327,2025-04-07T18.52.04.327,2.795,6.768,-3.415,-0.701
1744041124346,2025-04-07T18.52.04.346,2.814,6.189,-2.439,-0.701
1744041124367,2025-04-07T18.52.04.367,2.835,5.732,-2.439,-0.610
1744041124387,2025-04-07T18.52.04.387,2.855,5.091,-2.287,-0.366
1744041124408,2025-04-07T18.52.04.408,2.876,3.476,-1.646,-0.793
1744041124428,2025-04-07T18.52.04.428,2.896,1.738,-1.555,-0.549
1744041124447,2025-04-07T18.52.04.447,2.915,1.067,-0.884,0.793
1744041124468,2025-04-07T18.52.04.468,2.936,0.579,0.976,2.652
1744041124488,2025-04-07T18.52.04.488,2.956,0.000,0.366,2.744
1744041124509,2025-04-07T18.52.04.509,2.977,1.037,-1.067,1.677
1744041124529,2025-04-07T18.52.04.529,2.997,0.152,-2.165,1.189
1744041124550,2025-04-07T18.52.04.550,3.018,0.732,-1.921,1.006
1744041124569,2025-04-07T18.52.04.569,3.037,1.311,-1.220,1.280
1744041124589,2025-04-07T18.52.04.589,3.057,1.463,-1.159,1.311
1744041124610,2025-04-07T18.52.04.610,3.078,0.610,-2.073,0.427
1744041124630,2025-04-07T18.52.04.630,3.098,1.006,-3.537,-0.884
1744041124651,2025-04-07T18.52.04.651,3.119,2.134,-4.970,-2.012
1744041124670,2025-04-07T18.52.04.670,3.138,1.494,-5.610,-1.829
1744041124690,2025-04-07T18.52.04.690,3.158,3.445,-4.451,-1.341
1744041124711,2025-04-07T18.52.04.711,3.179,1.341,-3.079,-1.006
1744041124731,2025-04-07T18.52.04.731,3.199,1.067,-3.963,-1.372
1744041124752,2025-04-07T18.52.04.752,3.220,3.567,-5.396,-1.341
1744041124772,2025-04-07T18.52.04.772,3.240,2.988,-3.628,-0.335
1744041124792,2025-04-07T18.52.04.792,3.260,4.817,-3.780,0.274
1744041124812,2025-04-07T18.52.04.812,3.280,4.939,-3.079,1.067
1744041124833,2025-04-07T18.52.04.833,3.301,4.756,-3.963,0.671
1744041124853,2025-04-07T18.52.04.853,3.321,4.482,-3.323,0.457
1744041124874,2025-04-07T18.52.04.874,3.342,4.207,-1.037,0.640
1744041124894,2025-04-07T18.52.04.894,3.362,5.488,1.524,1.829
1744041124913,2025-04-07T18.52.04.913,3.381,4.238,1.067,1.433
1744041124934,2025-04-07T18.52.04.934,3.402,2.530,1.006,0.488
1744041124954,2025-04-07T18.52.04.954,3.422,2.226,2.104,0.671
1744041124975,2025-04-07T18.52.04.975,3.443,1.159,4.482,0.335
1744041124995,2025-04-07T18.52.04.995,3.463,-0.488,5.335,-1.128
1744041125014,2025-04-07T18.52.05.014,3.482,-1.860,4.939,-2.348
1744041125035,2025-04-07T18.52.05.035,3.503,-1.311,6.616,-0.976
1744041125055,2025-04-07T18.52.05.055,3.523,-0.366,6.220,-1.220
1744041125076,2025-04-07T18.52.05.076,3.544,1.829,3.293,-3.323
1744041125096,2025-04-07T18.52.05.096,3.564,-0.884,1.341,-3.811
1744041125117,2025-04-07T18.52.05.117,3.585,0.152,2.470,-1.494
1744041125136,2025-04-07T18.52.05.136,3.604,2.012,4.238,-0.030
1744041125156,2025-04-07T18.52.05.156,3.624,-0.762,4.665,0.183
1744041125177,2025-04-07T18.52.05.177,3.645,-2.226,2.134,-1.159
1744041125197,2025-04-07T18.52.05.197,3.665,-6.067,0.061,-1.646
1744041125218,2025-04-07T18.52.05.218,3.686,-10.579,-0.610,-1.189
1744041125238,2025-04-07T18.52.05.238,3.706,-12.927,-0.488,-0.884
1744041125257,2025-04-07T18.52.05.257,3.725,-10.091,-0.488,-0.640
1744041125278,2025-04-07T18.52.05.278,3.746,-6.250,0.000,0.000
1744041125298,2025-04-07T18.52.05.298,3.766,-4.512,-0.579,0.457
1744041125319,2025-04-07T18.52.05.319,3.787,-3.567,-0.457,0.427
1744041125339,2025-04-07T18.52.05.339,3.807,-1.006,-0.823,-0.457
1744041125360,2025-04-07T18.52.05.360,3.828,-0.122,-2.348,-1.646
1744041125379,2025-04-07T18.52.05.379,3.847,4.878,-2.317,-2.927
1744041125399,2025-04-07T18.52.05.399,3.867,7.561,-0.579,-2.409
1744041125420,2025-04-07T18.52.05.420,3.888,-1.555,0.701,0.061
1744041125440,2025-04-07T18.52.05.440,3.908,-0.030,-0.640,0.488
1744041125461,2025-04-07T18.52.05.461,3.929,2.927,-2.287,-0.335
1744041125480,2025-04-07T18.52.05.480,3.948,2.073,-2.683,-0.549
1744041125501,2025-04-07T18.52.05.501,3.969,2.348,-3.323,-0.976
1744041125521,2025-04-07T18.52.05.521,3.989,1.585,-3.018,-1.037
1744041125542,2025-04-07T18.52.05.542,4.010,0.884,-2.012,-0.030
1744041125562,2025-04-07T18.52.05.562,4.030,0.518,-1.494,0.457
1744041125583,2025-04-07T18.52.05.583,4.051,0.884,-0.762,0.000
1744041125602,2025-04-07T18.52.05.602,4.070,0.061,-0.671,-0.213
1744041125622,2025-04-07T18.52.05.622,4.090,0.000,-1.220,-0.793
1744041125643,2025-04-07T18.52.05.643,4.111,-0.091,-1.189,-0.579
1744041125663,2025-04-07T18.52.05.663,4.131,-1.006,-0.335,0.061
1744041125684,2025-04-07T18.52.05.684,4.152,-0.152,-0.183,0.183
1744041125704,2025-04-07T18.52.05.704,4.172,-0.183,-1.402,-0.274
1744041125723,2025-04-07T18.52.05.723,4.191,-1.280,-2.896,-0.579
1744041125744,2025-04-07T18.52.05.744,4.212,-1.128,-1.982,0.244
1744041125764,2025-04-07T18.52.05.764,4.232,-0.823,-0.915,0.854
1744041125785,2025-04-07T18.52.05.785,4.253,-0.884,-0.945,1.006
1744041125805,2025-04-07T18.52.05.805,4.273,-0.061,-2.744,-0.152
1744041125824,2025-04-07T18.52.05.824,4.292,0.396,-2.226,0.030
1744041125845,2025-04-07T18.52.05.845,4.313,0.000,-0.884,1.037
1744041125865,2025-04-07T18.52.05.865,4.333,-0.610,-0.671,0.915
1744041125886,2025-04-07T18.52.05.886,4.354,0.244,-1.494,-0.640
1744041125906,2025-04-07T18.52.05.906,4.374,1.067,-1.616,-1.250
1744041125927,2025-04-07T18.52.05.927,4.395,1.433,-0.945,-0.915
1744041125946,2025-04-07T18.52.05.946,4.414,1.677,-1.646,-0.640
1744041125966,2025-04-07T18.52.05.966,4.434,0.396,-1.951,-0.640
1744041125987,2025-04-07T18.52.05.987,4.455,0.396,-0.762,-0.122
1744041126007,2025-04-07T18.52.06.007,4.475,0.823,0.671,0.976
1744041126028,2025-04-07T18.52.06.028,4.496,-0.274,1.585,1.220
1744041126048,2025-04-07T18.52.06.048,4.516,-0.122,1.006,0.701
1744041126067,2025-04-07T18.52.06.067,4.535,-1.768,1.189,1.220
1744041126088,2025-04-07T18.52.06.088,4.556,-1.860,1.585,1.890
1744041126108,2025-04-07T18.52.06.108,4.576,-1.159,0.945,2.348
1744041126129,2025-04-07T18.52.06.129,4.597,-2.317,0.030,2.622
1744041126149,2025-04-07T18.52.06.149,4.617,-2.683,-0.244,2.652
1744041126168,2025-04-07T18.52.06.168,4.636,-2.195,-0.945,1.677
1744041126189,2025-04-07T18.52.06.189,4.657,-0.091,-1.921,0.579
1744041126209,2025-04-07T18.52.06.209,4.677,-0.030,-2.530,0.000
1744041126230,2025-04-07T18.52.06.230,4.698,0.366,-3.079,-0.488
1744041126251,2025-04-07T18.52.06.251,4.719,0.396,-2.896,-0.549
1744041126271,2025-04-07T18.52.06.271,4.739,1.067,-1.677,-0.183
1744041126290,2025-04-07T18.52.06.290,4.758,0.732,-0.732,0.427
1744041126311,2025-04-07T18.52.06.311,4.779,0.366,-0.640,0.579
1744041126331,2025-04-07T18.52.06.331,4.799,0.457,-0.061,0.915
1744041126352,2025-04-07T18.52.06.352,4.820,-0.122,0.762,0.884
1744041126372,2025-04-07T18.52.06.372,4.840,1.372,1.250,0.427
1744041126393,2025-04-07T18.52.06.393,4.861,0.488,0.396,0.061
1744041126412,2025-04-07T18.52.06.412,4.880,-0.244,0.976,0.701
1744041126432,2025-04-07T18.52.06.432,4.900,-1.220,2.287,1.555
1744041126453,2025-04-07T18.52.06.453,4.921,-0.884,1.921,1.372
1744041126473,2025-04-07T18.52.06.473,4.941,-1.433,0.915,1.128
1744041126494,2025-04-07T18.52.06.494,4.962,-2.195,0.030,0.823
1744041126514,2025-04-07T18.52.06.514,4.982,-1.982,-0.213,0.793
1744041126533,2025-04-07T18.52.06.533,5.001,-2.683,-1.402,0.793
1744041126554,2025-04-07T18.52.06.554,5.022,-3.994,-4.024,0.854
1744041126574,2025-04-07T18.52.06.574,5.042,-5.701,-5.610,0.183
1744041126595,2025-04-07T18.52.06.595,5.063,-4.756,-6.402,-0.793
1744041126615,2025-04-07T18.52.06.615,5.083,-5.183,-8.232,-0.152
1744041126634,2025-04-07T18.52.06.634,5.102,-5.061,-9.055,-0.396
1744041126655,2025-04-07T18.52.06.655,5.123,-3.262,-8.537,-0.549
1744041126675,2025-04-07T18.52.06.675,5.143,-2.561,-7.104,-0.793
1744041126696,2025-04-07T18.52.06.696,5.164,-3.171,-4.268,0.152
1744041126716,2025-04-07T18.52.06.716,5.184,-3.445,-2.256,1.067
1744041126737,2025-04-07T18.52.06.737,5.205,-3.018,-1.829,1.646
1744041126756,2025-04-07T18.52.06.756,5.224,-2.957,-2.378,1.677
1744041126776,2025-04-07T18.52.06.776,5.244,-3.110,-2.104,2.317
1744041126797,2025-04-07T18.52.06.797,5.265,-2.561,-1.829,2.744
1744041126817,2025-04-07T18.52.06.817,5.285,-0.640,-1.799,2.378
1744041126838,2025-04-07T18.52.06.838,5.306,0.793,-2.896,0.762
1744041126857,2025-04-07T18.52.06.857,5.325,1.402,-3.902,-0.793
1744041126877,2025-04-07T18.52.06.877,5.345,0.671,-3.079,-1.220
1744041126898,2025-04-07T18.52.06.898,5.366,2.073,-2.805,-1.555
1744041126918,2025-04-07T18.52.06.918,5.386,2.500,-2.927,-1.738
1744041126939,2025-04-07T18.52.06.939,5.407,2.012,-4.116,-2.530
1744041126959,2025-04-07T18.52.06.959,5.427,2.439,-4.146,-2.988
1744041126979,2025-04-07T18.52.06.979,5.447,0.701,-3.201,-2.378
1744041126999,2025-04-07T18.52.06.999,5.467,-0.518,-1.951,-1.616
1744041127020,2025-04-07T18.52.07.020,5.488,-0.396,-1.555,-1.189
1744041127040,2025-04-07T18.52.07.040,5.508,-1.555,-1.738,-1.402
1744041127061,2025-04-07T18.52.07.061,5.529,-1.372,-0.854,-1.311
1744041127081,2025-04-07T18.52.07.081,5.549,-1.860,0.000,-1.037
1744041127100,2025-04-07T18.52.07.100,5.568,-2.226,0.457,-0.579
1744041127121,2025-04-07T18.52.07.121,5.589,-1.585,0.884,0.244
1744041127141,2025-04-07T18.52.07.141,5.609,-2.134,0.701,1.006
1744041127162,2025-04-07T18.52.07.162,5.630,-0.762,-0.213,0.793
1744041127182,2025-04-07T18.52.07.182,5.650,1.402,-1.067,0.183
1744041127203,2025-04-07T18.52.07.203,5.671,1.159,-1.494,0.091
1744041127222,2025-04-07T18.52.07.222,5.690,0.701,-1.280,0.732
1744041127242,2025-04-07T18.52.07.242,5.710,-0.061,-1.006,1.098
1744041127263,2025-04-07T18.52.07.263,5.731,0.488,-1.250,0.427
1744041127283,2025-04-07T18.52.07.283,5.751,1.220,-1.890,-0.610
1744041127304,2025-04-07T18.52.07.304,5.772,0.976,-2.134,-0.945
1744041127323,2025-04-07T18.52.07.323,5.791,0.305,-1.585,-0.671
1744041127343,2025-04-07T18.52.07.343,5.811,-0.579,-1.159,-0.427
1744041127364,2025-04-07T18.52.07.364,5.832,-0.732,-0.427,-0.122
1744041127384,2025-04-07T18.52.07.384,5.852,0.244,-0.427,-0.183
1744041127405,2025-04-07T18.52.07.405,5.873,0.457,-0.945,-0.274
1744041127425,2025-04-07T18.52.07.425,5.893,-0.091,-0.762,0.122
1744041127444,2025-04-07T18.52.07.444,5.912,0.244,-0.488,0.366
1744041127465,2025-04-07T18.52.07.465,5.933,0.244,0.061,0.671
1744041127485,2025-04-07T18.52.07.485,5.953,0.579,-0.030,0.335
1744041127506,2025-04-07T18.52.07.506,5.974,0.427,-0.457,-0.183
1744041127526,2025-04-07T18.52.07.526,5.994,-0.579,-1.037,-0.488
1744041127547,2025-04-07T18.52.07.547,6.015,0.244,-0.701,-0.030
1744041127566,2025-04-07T18.52.07.566,6.034,-0.762,-0.061,0.457
1744041127586,2025-04-07T18.52.07.586,6.054,-0.640,0.122,0.549
1744041127607,2025-04-07T18.52.07.607,6.075,-0.427,-1.067,-0.549
1744041127627,2025-04-07T18.52.07.627,6.095,-1.006,-1.098,-1.341
1744041127648,2025-04-07T18.52.07.648,6.116,0.000,-0.366,-0.945
1744041127667,2025-04-07T18.52.07.667,6.135,0.701,-0.671,-0.549
1744041127688,2025-04-07T18.52.07.688,6.156,1.159,-0.976,-0.244
1744041127708,2025-04-07T18.52.07.708,6.176,-0.305,-1.280,-0.152
1744041127729,2025-04-07T18.52.07.729,6.197,-0.427,-1.189,0.152
1744041127749,2025-04-07T18.52.07.749,6.217,0.335,-1.037,0.152
1744041127770,2025-04-07T18.52.07.770,6.238,0.427,-0.488,0.213
1744041127789,2025-04-07T18.52.07.789,6.257,0.030,0.183,0.000
1744041127809,2025-04-07T18.52.07.809,6.277,0.396,-0.518,-0.579
1744041127830,2025-04-07T18.52.07.830,6.298,1.098,-0.579,-0.549
1744041127850,2025-04-07T18.52.07.850,6.318,1.829,0.091,0.671
1744041127871,2025-04-07T18.52.07.871,6.339,0.549,-0.335,1.280
1744041127891,2025-04-07T18.52.07.891,6.359,0.396,-0.640,0.793
1744041127910,2025-04-07T18.52.07.910,6.378,0.427,0.732,0.854
1744041127931,2025-04-07T18.52.07.931,6.399,0.396,0.671,0.732
1744041127951,2025-04-07T18.52.07.951,6.419,-0.091,0.305,0.793
1744041127972,2025-04-07T18.52.07.972,6.440,0.366,0.122,0.152
1744041127992,2025-04-07T18.52.07.992,6.460,0.152,1.250,-0.061
1744041128011,2025-04-07T18.52.08.011,6.479,0.396,1.860,-0.122
1744041128032,2025-04-07T18.52.08.032,6.500,0.823,2.104,0.030
1744041128052,2025-04-07T18.52.08.052,6.520,0.000,1.738,-0.061
1744041128073,2025-04-07T18.52.08.073,6.541,0.396,1.768,0.030
1744041128093,2025-04-07T18.52.08.093,6.561,0.945,1.463,0.213
1744041128114,2025-04-07T18.52.08.114,6.582,1.463,2.226,0.061
1744041128133,2025-04-07T18.52.08.133,6.601,2.256,2.287,-0.579
1744041128153,2025-04-07T18.52.08.153,6.621,1.768,1.799,-1.220
1744041128174,2025-04-07T18.52.08.174,6.642,2.866,1.250,-2.104
1744041128194,2025-04-07T18.52.08.194,6.662,2.348,1.311,-2.104
1744041128215,2025-04-07T18.52.08.215,6.683,1.890,0.549,-2.378
1744041128235,2025-04-07T18.52.08.235,6.703,2.896,0.274,-2.530
1744041128254,2025-04-07T18.52.08.254,6.722,4.573,0.549,-2.317
1744041128275,2025-04-07T18.52.08.275,6.743,2.561,0.732,-1.372
1744041128295,2025-04-07T18.52.08.295,6.763,0.671,0.122,-1.037
1744041128316,2025-04-07T18.52.08.316,6.784,0.762,-0.427,-0.823
1744041128336,2025-04-07T18.52.08.336,6.804,-0.244,-0.457,-0.671
1744041128355,2025-04-07T18.52.08.355,6.823,-0.274,-1.280,-1.220
1744041128376,2025-04-07T18.52.08.376,6.844,-0.457,-0.945,-1.677
1744041128397,2025-04-07T18.52.08.397,6.865,1.280,-0.518,-1.463
1744041128417,2025-04-07T18.52.08.417,6.885,1.372,-1.128,-1.128
1744041128438,2025-04-07T18.52.08.438,6.906,1.585,-2.439,-1.738
1744041128458,2025-04-07T18.52.08.458,6.926,0.945,-2.256,-1.707
1744041128477,2025-04-07T18.52.08.477,6.945,0.488,-1.250,-0.915
1744041128498,2025-04-07T18.52.08.498,6.966,0.549,-0.884,-0.305
1744041128518,2025-04-07T18.52.08.518,6.986,1.524,-1.311,-0.671
1744041128539,2025-04-07T18.52.08.539,7.007,1.159,-1.433,-0.854
1744041128559,2025-04-07T18.52.08.559,7.027,1.799,-0.945,-0.427
1744041128580,2025-04-07T18.52.08.580,7.048,2.591,-0.427,0.366
1744041128599,2025-04-07T18.52.08.599,7.067,1.860,-1.098,0.274
1744041128619,2025-04-07T18.52.08.619,7.087,1.738,-1.433,-0.427
1744041128640,2025-04-07T18.52.08.640,7.108,1.738,-0.762,-0.793
1744041128660,2025-04-07T18.52.08.660,7.128,2.104,0.549,-0.976
1744041128681,2025-04-07T18.52.08.681,7.149,0.976,1.037,-1.220
1744041128700,2025-04-07T18.52.08.700,7.168,1.616,1.067,-1.463
1744041128720,2025-04-07T18.52.08.720,7.188,2.683,0.732,-1.982
1744041128741,2025-04-07T18.52.08.741,7.209,3.780,-0.152,-1.860
1744041128761,2025-04-07T18.52.08.761,7.229,2.530,-0.671,-0.518
1744041128782,2025-04-07T18.52.08.782,7.250,2.713,-0.976,0.457
1744041128802,2025-04-07T18.52.08.802,7.270,2.896,-1.738,1.067
1744041128821,2025-04-07T18.52.08.821,7.289,2.744,-2.652,1.098
