epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1744041761288,2025-04-07T19.02.41.288,0.000,5.579,4.177,2.530
1744041761308,2025-04-07T19.02.41.308,0.020,4.756,4.329,2.896
1744041761327,2025-04-07T19.02.41.327,0.039,3.384,3.537,1.189
1744041761348,2025-04-07T19.02.41.348,0.060,3.933,0.671,0.305
1744041761368,2025-04-07T19.02.41.368,0.080,7.104,0.122,1.616
1744041761389,2025-04-07T19.02.41.389,0.101,12.195,0.305,2.073
1744041761409,2025-04-07T19.02.41.409,0.121,13.384,-0.335,1.494
1744041761430,2025-04-07T19.02.41.430,0.142,10.305,-2.104,-0.854
1744041761449,2025-04-07T19.02.41.449,0.161,10.000,-2.530,-1.433
1744041761469,2025-04-07T19.02.41.469,0.181,11.463,-2.835,-1.311
1744041761490,2025-04-07T19.02.41.490,0.202,13.018,-1.829,-1.098
1744041761510,2025-04-07T19.02.41.510,0.222,10.183,-3.171,-1.707
1744041761531,2025-04-07T19.02.41.531,0.243,6.738,-3.598,-1.768
1744041761551,2025-04-07T19.02.41.551,0.263,4.177,-0.366,-0.396
1744041761570,2025-04-07T19.02.41.570,0.282,0.518,2.287,0.762
1744041761591,2025-04-07T19.02.41.591,0.303,-0.610,1.555,-0.091
1744041761611,2025-04-07T19.02.41.611,0.323,1.860,0.549,-2.287
1744041761632,2025-04-07T19.02.41.632,0.344,2.744,0.701,-3.445
1744041761652,2025-04-07T19.02.41.652,0.364,2.713,0.000,-3.415
1744041761671,2025-04-07T19.02.41.671,0.383,3.445,1.037,-2.805
1744041761692,2025-04-07T19.02.41.692,0.404,4.177,0.366,-2.744
1744041761712,2025-04-07T19.02.41.712,0.424,3.841,-0.549,-2.561
1744041761733,2025-04-07T19.02.41.733,0.445,2.348,-0.549,-1.402
1744041761753,2025-04-07T19.02.41.753,0.465,0.518,1.067,0.732
1744041761774,2025-04-07T19.02.41.774,0.486,1.250,0.427,1.707
1744041761793,2025-04-07T19.02.41.793,0.505,1.738,-0.091,1.555
1744041761814,2025-04-07T19.02.41.814,0.526,1.220,1.037,2.104
1744041761834,2025-04-07T19.02.41.834,0.546,1.982,0.762,2.287
1744041761855,2025-04-07T19.02.41.855,0.567,3.567,-0.183,1.494
1744041761875,2025-04-07T19.02.41.875,0.587,3.811,0.152,0.457
1744041761896,2025-04-07T19.02.41.896,0.608,3.902,-0.549,-0.366
1744041761915,2025-04-07T19.02.41.915,0.627,3.140,-0.640,-0.549
1744041761935,2025-04-07T19.02.41.935,0.647,2.652,-0.640,-0.152
1744041761956,2025-04-07T19.02.41.956,0.668,1.585,0.427,0.610
1744041761976,2025-04-07T19.02.41.976,0.688,0.122,0.305,0.640
1744041761997,2025-04-07T19.02.41.997,0.709,0.549,0.183,0.396
1744041762017,2025-04-07T19.02.42.017,0.729,0.915,-0.335,0.305
1744041762036,2025-04-07T19.02.42.036,0.748,1.189,-0.061,0.457
1744041762057,2025-04-07T19.02.42.057,0.769,1.768,0.061,0.945
1744041762077,2025-04-07T19.02.42.077,0.789,0.640,-0.091,0.823
1744041762098,2025-04-07T19.02.42.098,0.810,0.335,0.762,0.884
1744041762118,2025-04-07T19.02.42.118,0.830,1.067,1.098,0.915
1744041762137,2025-04-07T19.02.42.137,0.849,2.165,-0.610,0.732
1744041762158,2025-04-07T19.02.42.158,0.870,2.744,-0.030,0.854
1744041762178,2025-04-07T19.02.42.178,0.890,3.659,-0.366,0.030
1744041762199,2025-04-07T19.02.42.199,0.911,3.232,0.091,-0.427
1744041762219,2025-04-07T19.02.42.219,0.931,3.171,-0.183,-0.518
1744041762240,2025-04-07T19.02.42.240,0.952,1.768,0.183,0.061
1744041762259,2025-04-07T19.02.42.259,0.971,-0.610,1.280,0.823
1744041762279,2025-04-07T19.02.42.279,0.991,0.335,1.220,1.006
1744041762300,2025-04-07T19.02.42.300,1.012,0.366,0.671,0.762
1744041762320,2025-04-07T19.02.42.320,1.032,-0.671,0.884,0.793
