epoc (ms),timestamp (+0300),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1744041123888,2025-04-07T18.52.03.888,2.429,-0.000345125,0.000064500,-0.000240875
1744041123927,2025-04-07T18.52.03.927,2.468,-0.000344375,0.000064500,-0.000240000
1744041123967,2025-04-07T18.52.03.967,2.508,-0.000345500,0.000064125,-0.000240562
1744041124006,2025-04-07T18.52.04.006,2.547,-0.000345500,0.000064875,-0.000241188
1744041124046,2025-04-07T18.52.04.046,2.587,-0.000346250,0.000064500,-0.000241250
1744041124087,2025-04-07T18.52.04.087,2.628,-0.000346563,0.000064875,-0.000241188
1744041124126,2025-04-07T18.52.04.126,2.667,-0.000346938,0.000064875,-0.000240437
1744041124166,2025-04-07T18.52.04.166,2.707,-0.000347313,0.000065188,-0.000241188
1744041124206,2025-04-07T18.52.04.206,2.747,-0.000347313,0.000064500,-0.000241188
1744041124245,2025-04-07T18.52.04.245,2.786,-0.000347688,0.000064500,-0.000240750
1744041124285,2025-04-07T18.52.04.285,2.826,-0.000347688,0.000064875,-0.000241188
1744041124324,2025-04-07T18.52.04.324,2.865,-0.000347313,0.000064875,-0.000240500
1744041124365,2025-04-07T18.52.04.365,2.906,-0.000346625,0.000065562,-0.000242437
1744041124405,2025-04-07T18.52.04.405,2.946,-0.000346938,0.000064875,-0.000241250
1744041124444,2025-04-07T18.52.04.444,2.985,-0.000347688,0.000065938,-0.000240875
1744041124484,2025-04-07T18.52.04.484,3.025,-0.000347313,0.000065188,-0.000241188
1744041124523,2025-04-07T18.52.04.523,3.064,-0.000347688,0.000066313,-0.000241250
1744041124563,2025-04-07T18.52.04.563,3.104,-0.000347688,0.000064875,-0.000241188
1744041124604,2025-04-07T18.52.04.604,3.145,-0.000347313,0.000064875,-0.000241250
1744041124644,2025-04-07T18.52.04.644,3.185,-0.000347688,0.000065250,-0.000241625
1744041124683,2025-04-07T18.52.04.683,3.224,-0.000346938,0.000065188,-0.000241188
1744041124723,2025-04-07T18.52.04.723,3.264,-0.000348062,0.000065250,-0.000241250
1744041124762,2025-04-07T18.52.04.762,3.303,-0.000347000,0.000064500,-0.000241625
1744041124802,2025-04-07T18.52.04.802,3.343,-0.000347688,0.000066313,-0.000242437
1744041124843,2025-04-07T18.52.04.843,3.384,-0.000347688,0.000064500,-0.000241688
1744041124882,2025-04-07T18.52.04.882,3.423,-0.000347313,0.000065250,-0.000242062
1744041124922,2025-04-07T18.52.04.922,3.463,-0.000346250,0.000064875,-0.000242062
1744041124961,2025-04-07T18.52.04.961,3.502,-0.000347313,0.000065562,-0.000241625
1744041125001,2025-04-07T18.52.05.001,3.542,-0.000346938,0.000065562,-0.000241250
1744041125041,2025-04-07T18.52.05.041,3.582,-0.000348062,0.000065562,-0.000241250
1744041125082,2025-04-07T18.52.05.082,3.623,-0.000347313,0.000065250,-0.000242125
1744041125121,2025-04-07T18.52.05.121,3.662,-0.000347688,0.000064875,-0.000242375
1744041125161,2025-04-07T18.52.05.161,3.702,-0.000348437,0.000065250,-0.000240875
1744041125200,2025-04-07T18.52.05.200,3.741,-0.000347688,0.000065938,-0.000242375
1744041125240,2025-04-07T18.52.05.240,3.781,-0.000347313,0.000065250,-0.000240938
1744041125279,2025-04-07T18.52.05.279,3.820,-0.000347688,0.000064125,-0.000240437
1744041125320,2025-04-07T18.52.05.320,3.861,-0.000348437,0.000065250,-0.000241250
1744041125360,2025-04-07T18.52.05.360,3.901,-0.000348062,0.000064500,-0.000240125
1744041125399,2025-04-07T18.52.05.399,3.940,-0.000348062,0.000064500,-0.000240875
1744041125439,2025-04-07T18.52.05.439,3.980,-0.000348062,0.000064875,-0.000240875
1744041125479,2025-04-07T18.52.05.479,4.020,-0.000348812,0.000065250,-0.000242875
1744041125518,2025-04-07T18.52.05.518,4.059,-0.000348062,0.000064875,-0.000241625
1744041125559,2025-04-07T18.52.05.559,4.100,-0.000348437,0.000065250,-0.000240875
1744041125599,2025-04-07T18.52.05.599,4.140,-0.000348062,0.000065938,-0.000241250
1744041125638,2025-04-07T18.52.05.638,4.179,-0.000348437,0.000066313,-0.000240875
1744041125678,2025-04-07T18.52.05.678,4.219,-0.000347688,0.000065250,-0.000242500
1744041125717,2025-04-07T18.52.05.717,4.258,-0.000347688,0.000064875,-0.000241188
1744041125757,2025-04-07T18.52.05.757,4.298,-0.000348062,0.000064500,-0.000240875
1744041125798,2025-04-07T18.52.05.798,4.339,-0.000348437,0.000065938,-0.000240938
1744041125837,2025-04-07T18.52.05.837,4.378,-0.000348062,0.000065250,-0.000242062
1744041125877,2025-04-07T18.52.05.877,4.418,-0.000348062,0.000065562,-0.000241313
1744041125917,2025-04-07T18.52.05.917,4.458,-0.000348812,0.000064125,-0.000240875
1744041125956,2025-04-07T18.52.05.956,4.497,-0.000347313,0.000065188,-0.000241188
1744041125996,2025-04-07T18.52.05.996,4.537,-0.000347688,0.000064500,-0.000240875
1744041126037,2025-04-07T18.52.06.037,4.578,-0.000348437,0.000064875,-0.000241937
1744041126076,2025-04-07T18.52.06.076,4.617,-0.000347688,0.000065562,-0.000240500
1744041126116,2025-04-07T18.52.06.116,4.657,-0.000347688,0.000064500,-0.000242437
1744041126155,2025-04-07T18.52.06.155,4.696,-0.000348437,0.000064875,-0.000241188
1744041126195,2025-04-07T18.52.06.195,4.736,-0.000348812,0.000064875,-0.000242062
1744041126234,2025-04-07T18.52.06.234,4.775,-0.000347313,0.000065938,-0.000240750
1744041126274,2025-04-07T18.52.06.274,4.815,-0.000348062,0.000066313,-0.000241188
1744041126315,2025-04-07T18.52.06.315,4.856,-0.000348437,0.000064875,-0.000241625
1744041126355,2025-04-07T18.52.06.355,4.896,-0.000348062,0.000065562,-0.000240500
1744041126394,2025-04-07T18.52.06.394,4.935,-0.000348812,0.000064875,-0.000241625
1744041126434,2025-04-07T18.52.06.434,4.975,-0.000348437,0.000064125,-0.000242062
1744041126473,2025-04-07T18.52.06.473,5.014,-0.000348437,0.000065562,-0.000241625
1744041126514,2025-04-07T18.52.06.514,5.055,-0.000347313,0.000065250,-0.000240875
1744041126554,2025-04-07T18.52.06.554,5.095,-0.000346938,0.000064500,-0.000240000
1744041126593,2025-04-07T18.52.06.593,5.134,-0.000346938,0.000064500,-0.000239688
1744041126633,2025-04-07T18.52.06.633,5.174,-0.000347313,0.000065188,-0.000239563
1744041126672,2025-04-07T18.52.06.672,5.213,-0.000347688,0.000064875,-0.000241313
1744041126712,2025-04-07T18.52.06.712,5.253,-0.000347313,0.000064875,-0.000242062
1744041126753,2025-04-07T18.52.06.753,5.294,-0.000346938,0.000064875,-0.000242062
1744041126793,2025-04-07T18.52.06.793,5.334,-0.000347688,0.000064500,-0.000241188
1744041126832,2025-04-07T18.52.06.832,5.373,-0.000346625,0.000063750,-0.000241625
1744041126872,2025-04-07T18.52.06.872,5.413,-0.000347313,0.000064875,-0.000241625
1744041126911,2025-04-07T18.52.06.911,5.452,-0.000347688,0.000064125,-0.000242125
1744041126951,2025-04-07T18.52.06.951,5.492,-0.000347688,0.000063750,-0.000241188
1744041126992,2025-04-07T18.52.06.992,5.533,-0.000347000,0.000064125,-0.000240437
1744041127031,2025-04-07T18.52.07.031,5.572,-0.000347313,0.000064500,-0.000241250
1744041127071,2025-04-07T18.52.07.071,5.612,-0.000347688,0.000064125,-0.000241563
1744041127110,2025-04-07T18.52.07.110,5.651,-0.000346938,0.000064500,-0.000241625
1744041127150,2025-04-07T18.52.07.150,5.691,-0.000347688,0.000064875,-0.000240437
1744041127189,2025-04-07T18.52.07.189,5.730,-0.000347000,0.000064875,-0.000241250
1744041127229,2025-04-07T18.52.07.229,5.770,-0.000347313,0.000064125,-0.000241188
1744041127270,2025-04-07T18.52.07.270,5.811,-0.000347000,0.000064125,-0.000242125
1744041127310,2025-04-07T18.52.07.310,5.851,-0.000345875,0.000064125,-0.000242062
1744041127349,2025-04-07T18.52.07.349,5.890,-0.000346563,0.000064875,-0.000241188
1744041127389,2025-04-07T18.52.07.389,5.930,-0.000347313,0.000064125,-0.000241313
1744041127428,2025-04-07T18.52.07.428,5.969,-0.000348062,0.000064500,-0.000240938
1744041127468,2025-04-07T18.52.07.468,6.009,-0.000346625,0.000064500,-0.000240562
1744041127509,2025-04-07T18.52.07.509,6.050,-0.000347688,0.000064500,-0.000240437
1744041127548,2025-04-07T18.52.07.548,6.089,-0.000347375,0.000064500,-0.000241375
1744041127588,2025-04-07T18.52.07.588,6.129,-0.000346938,0.000063750,-0.000241625
1744041127627,2025-04-07T18.52.07.627,6.168,-0.000346938,0.000064125,-0.000240437
1744041127667,2025-04-07T18.52.07.667,6.208,-0.000346563,0.000064875,-0.000241188
1744041127707,2025-04-07T18.52.07.707,6.248,-0.000348062,0.000064500,-0.000241625
