epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1744040481162,2025-04-07T18.41.21.162,0.000,5.244,-4.360,-2.226
1744040481182,2025-04-07T18.41.21.182,0.020,5.183,-4.512,-1.890
1744040481201,2025-04-07T18.41.21.201,0.039,5.000,-4.360,-1.890
1744040481222,2025-04-07T18.41.21.222,0.060,2.500,-3.506,-1.189
1744040481242,2025-04-07T18.41.21.242,0.080,1.768,-2.988,-1.524
1744040481263,2025-04-07T18.41.21.263,0.101,2.652,-0.915,-1.585
1744040481283,2025-04-07T18.41.21.283,0.121,1.280,0.152,-1.128
1744040481304,2025-04-07T18.41.21.304,0.142,-2.652,0.000,-0.762
1744040481323,2025-04-07T18.41.21.323,0.161,-2.073,0.122,-1.037
1744040481343,2025-04-07T18.41.21.343,0.181,-1.463,1.067,-0.213
1744040481364,2025-04-07T18.41.21.364,0.202,-0.945,1.250,0.305
1744040481384,2025-04-07T18.41.21.384,0.222,-1.555,0.762,0.396
1744040481405,2025-04-07T18.41.21.405,0.243,-1.067,-0.122,0.152
1744040481425,2025-04-07T18.41.21.425,0.263,-0.488,-0.244,0.549
1744040481444,2025-04-07T18.41.21.444,0.282,-0.030,-0.030,1.067
1744040481465,2025-04-07T18.41.21.465,0.303,0.640,0.244,1.159
1744040481485,2025-04-07T18.41.21.485,0.323,0.518,0.213,0.793
1744040481506,2025-04-07T18.41.21.506,0.344,0.518,-0.244,0.213
1744040481526,2025-04-07T18.41.21.526,0.364,1.037,-0.274,-0.396
1744040481547,2025-04-07T18.41.21.547,0.385,1.037,-0.152,-0.366
1744040481566,2025-04-07T18.41.21.566,0.404,1.098,-0.640,-0.305
1744040481587,2025-04-07T18.41.21.587,0.425,1.280,-1.037,-0.152
1744040481607,2025-04-07T18.41.21.607,0.445,1.006,-0.610,0.183
1744040481628,2025-04-07T18.41.21.628,0.466,0.671,0.305,0.518
1744040481648,2025-04-07T18.41.21.648,0.486,0.884,0.213,0.152
1744040481667,2025-04-07T18.41.21.667,0.505,1.220,-0.732,-0.793
1744040481688,2025-04-07T18.41.21.688,0.526,0.915,-0.701,-0.976
1744040481708,2025-04-07T18.41.21.708,0.546,0.183,0.122,-0.518
1744040481729,2025-04-07T18.41.21.729,0.567,0.457,0.640,-0.488
1744040481749,2025-04-07T18.41.21.749,0.587,0.305,0.091,-0.579
1744040481770,2025-04-07T18.41.21.770,0.608,0.366,-0.457,-0.762
1744040481789,2025-04-07T18.41.21.789,0.627,0.244,0.305,-0.030
1744040481809,2025-04-07T18.41.21.809,0.647,0.213,0.671,0.244
1744040481830,2025-04-07T18.41.21.830,0.668,-0.366,0.610,0.457
1744040481850,2025-04-07T18.41.21.850,0.688,0.122,-0.122,0.000
1744040481871,2025-04-07T18.41.21.871,0.709,0.305,-0.549,-0.152
1744040481891,2025-04-07T18.41.21.891,0.729,-0.488,-0.274,0.427
1744040481910,2025-04-07T18.41.21.910,0.748,-1.098,0.152,0.640
1744040481931,2025-04-07T18.41.21.931,0.769,-0.274,-0.305,0.000
1744040481951,2025-04-07T18.41.21.951,0.789,-0.549,-0.793,-0.305
1744040481972,2025-04-07T18.41.21.972,0.810,-0.396,-1.189,-0.488
1744040481992,2025-04-07T18.41.21.992,0.830,-0.671,-1.159,-0.610
1744040482013,2025-04-07T18.41.22.013,0.851,-0.915,-1.098,-0.762
1744040482032,2025-04-07T18.41.22.032,0.870,-0.732,-1.067,-0.671
1744040482052,2025-04-07T18.41.22.052,0.890,-0.610,-0.884,-0.671
1744040482073,2025-04-07T18.41.22.073,0.911,-0.213,-0.793,-0.457
1744040482093,2025-04-07T18.41.22.093,0.931,0.061,-1.067,-0.488
1744040482114,2025-04-07T18.41.22.114,0.952,0.305,-1.524,-0.457
1744040482133,2025-04-07T18.41.22.133,0.971,0.457,-1.677,-0.213
1744040482153,2025-04-07T18.41.22.153,0.991,0.518,-1.433,0.213
1744040482174,2025-04-07T18.41.22.174,1.012,0.305,-0.915,0.518
1744040482194,2025-04-07T18.41.22.194,1.032,-0.579,-1.128,0.244
1744040482215,2025-04-07T18.41.22.215,1.053,-0.213,-1.311,-0.091
1744040482235,2025-04-07T18.41.22.235,1.073,-0.732,-1.433,0.000
1744040482254,2025-04-07T18.41.22.254,1.092,-0.457,-1.006,0.183
1744040482275,2025-04-07T18.41.22.275,1.113,-0.915,-0.610,0.244
1744040482295,2025-04-07T18.41.22.295,1.133,-1.585,-0.335,0.366
1744040482316,2025-04-07T18.41.22.316,1.154,-1.189,-0.152,0.488
1744040482337,2025-04-07T18.41.22.337,1.175,-0.823,-0.122,0.549
1744040482357,2025-04-07T18.41.22.357,1.195,-0.061,-1.006,-0.122
1744040482376,2025-04-07T18.41.22.376,1.214,-0.610,-1.250,-0.244
1744040482397,2025-04-07T18.41.22.397,1.235,-0.762,-0.244,0.335
1744040482417,2025-04-07T18.41.22.417,1.255,-0.671,0.396,0.549
1744040482438,2025-04-07T18.41.22.438,1.276,-0.457,0.518,0.488
1744040482458,2025-04-07T18.41.22.458,1.296,-0.122,0.854,0.457
1744040482479,2025-04-07T18.41.22.479,1.317,0.152,0.061,0.061
1744040482498,2025-04-07T18.41.22.498,1.336,-0.061,-0.762,-0.213
1744040482518,2025-04-07T18.41.22.518,1.356,0.335,-1.006,-0.366
1744040482539,2025-04-07T18.41.22.539,1.377,0.213,-0.396,-0.335
1744040482559,2025-04-07T18.41.22.559,1.397,0.457,-0.244,-0.793
1744040482580,2025-04-07T18.41.22.580,1.418,0.183,-0.305,-0.915
1744040482599,2025-04-07T18.41.22.599,1.437,0.091,-0.335,-0.976
1744040482619,2025-04-07T18.41.22.619,1.457,-0.061,-0.274,-0.915
1744040482640,2025-04-07T18.41.22.640,1.478,0.396,-0.457,-0.732
1744040482660,2025-04-07T18.41.22.660,1.498,0.244,-0.183,-0.061
1744040482681,2025-04-07T18.41.22.681,1.519,-0.152,-0.457,0.183
1744040482701,2025-04-07T18.41.22.701,1.539,-0.335,-1.037,-0.061
1744040482720,2025-04-07T18.41.22.720,1.558,-0.122,-0.579,-0.183
1744040482741,2025-04-07T18.41.22.741,1.579,0.000,0.183,-0.091
1744040482761,2025-04-07T18.41.22.761,1.599,-0.579,0.122,-0.396
1744040482782,2025-04-07T18.41.22.782,1.620,-0.915,-0.732,-0.915
1744040482802,2025-04-07T18.41.22.802,1.640,-1.006,-1.067,-1.220
1744040482823,2025-04-07T18.41.22.823,1.661,-0.152,-0.671,-1.006
1744040482842,2025-04-07T18.41.22.842,1.680,0.854,-0.396,-0.640
1744040482862,2025-04-07T18.41.22.862,1.700,1.159,-1.280,-0.274
1744040482883,2025-04-07T18.41.22.883,1.721,0.762,-2.043,0.091
1744040482903,2025-04-07T18.41.22.903,1.741,0.274,-1.311,0.579
1744040482924,2025-04-07T18.41.22.924,1.762,-0.244,-0.061,0.701
1744040482943,2025-04-07T18.41.22.943,1.781,0.396,0.396,0.244
1744040482963,2025-04-07T18.41.22.963,1.801,-0.183,-0.061,-0.274
1744040482984,2025-04-07T18.41.22.984,1.822,0.152,-0.457,-0.884
1744040483004,2025-04-07T18.41.23.004,1.842,0.488,-0.366,-0.640
1744040483025,2025-04-07T18.41.23.025,1.863,0.122,-0.274,0.091
1744040483045,2025-04-07T18.41.23.045,1.883,-0.518,-0.427,0.457
1744040483065,2025-04-07T18.41.23.065,1.903,-0.335,-0.762,0.091
1744040483085,2025-04-07T18.41.23.085,1.923,-0.213,-0.549,-0.274
1744040483106,2025-04-07T18.41.23.106,1.944,-0.305,-0.396,-0.396
1744040483126,2025-04-07T18.41.23.126,1.964,-0.396,-0.549,-0.366
1744040483147,2025-04-07T18.41.23.147,1.985,-0.061,-0.640,-0.213
1744040483167,2025-04-07T18.41.23.167,2.005,0.488,-0.366,0.213
1744040483186,2025-04-07T18.41.23.186,2.024,0.274,-0.305,0.488
1744040483207,2025-04-07T18.41.23.207,2.045,0.488,-0.183,0.701
1744040483227,2025-04-07T18.41.23.227,2.065,0.579,-0.579,0.549
1744040483248,2025-04-07T18.41.23.248,2.086,0.457,-0.610,0.427
1744040483268,2025-04-07T18.41.23.268,2.106,-0.335,-0.427,0.305
1744040483289,2025-04-07T18.41.23.289,2.127,-0.640,-0.366,0.335
1744040483308,2025-04-07T18.41.23.308,2.146,-0.122,-0.183,0.427
1744040483328,2025-04-07T18.41.23.328,2.166,-0.701,-0.183,0.305
1744040483349,2025-04-07T18.41.23.349,2.187,-0.915,-0.152,0.030
1744040483369,2025-04-07T18.41.23.369,2.207,-0.610,-0.030,0.152
1744040483390,2025-04-07T18.41.23.390,2.228,-0.579,-0.183,0.488
1744040483409,2025-04-07T18.41.23.409,2.247,-1.067,-0.732,0.457
1744040483429,2025-04-07T18.41.23.429,2.267,-0.762,-0.854,0.518
1744040483450,2025-04-07T18.41.23.450,2.288,0.122,-0.427,0.610
1744040483470,2025-04-07T18.41.23.470,2.308,0.884,-0.396,0.671
1744040483491,2025-04-07T18.41.23.491,2.329,0.183,-1.006,0.518
1744040483511,2025-04-07T18.41.23.511,2.349,1.463,-1.555,0.030
1744040483530,2025-04-07T18.41.23.530,2.368,1.189,-1.098,0.457
1744040483551,2025-04-07T18.41.23.551,2.389,1.189,-0.976,0.732
1744040483571,2025-04-07T18.41.23.571,2.409,1.189,-0.427,1.037
1744040483592,2025-04-07T18.41.23.592,2.430,0.213,-0.549,1.159
1744040483612,2025-04-07T18.41.23.612,2.450,-0.305,-0.274,1.189
1744040483633,2025-04-07T18.41.23.633,2.471,0.091,0.183,1.037
1744040483652,2025-04-07T18.41.23.652,2.490,-0.213,-0.061,0.213
1744040483672,2025-04-07T18.41.23.672,2.510,0.213,-0.793,-0.945
1744040483693,2025-04-07T18.41.23.693,2.531,-0.274,-0.732,-1.067
1744040483713,2025-04-07T18.41.23.713,2.551,0.823,-0.335,-1.189
1744040483734,2025-04-07T18.41.23.734,2.572,1.189,-0.152,-1.280
1744040483753,2025-04-07T18.41.23.753,2.591,1.037,-0.640,-1.524
1744040483774,2025-04-07T18.41.23.774,2.612,0.183,-0.610,-0.915
1744040483794,2025-04-07T18.41.23.794,2.632,0.579,-0.427,-0.488
1744040483815,2025-04-07T18.41.23.815,2.653,0.854,-0.366,-0.488
1744040483835,2025-04-07T18.41.23.835,2.673,0.427,0.244,-0.152
1744040483856,2025-04-07T18.41.23.856,2.694,-0.457,0.366,0.061
1744040483876,2025-04-07T18.41.23.876,2.714,-0.244,0.244,-0.091
1744040483895,2025-04-07T18.41.23.895,2.733,-0.061,0.274,-0.244
1744040483916,2025-04-07T18.41.23.916,2.754,-0.274,-0.305,-0.518
1744040483936,2025-04-07T18.41.23.936,2.774,0.152,-0.244,-0.274
1744040483957,2025-04-07T18.41.23.957,2.795,-0.122,0.000,0.305
1744040483977,2025-04-07T18.41.23.977,2.815,-0.488,-0.335,0.366
1744040483996,2025-04-07T18.41.23.996,2.834,-0.610,-0.732,0.030
1744040484017,2025-04-07T18.41.24.017,2.855,0.183,-0.884,0.000
1744040484037,2025-04-07T18.41.24.037,2.875,0.549,-1.280,0.274
1744040484058,2025-04-07T18.41.24.058,2.896,0.396,-1.585,0.244
1744040484078,2025-04-07T18.41.24.078,2.916,0.732,-1.372,0.061
1744040484099,2025-04-07T18.41.24.099,2.937,0.457,-1.433,0.030
1744040484118,2025-04-07T18.41.24.118,2.956,-0.030,-1.463,0.457
1744040484138,2025-04-07T18.41.24.138,2.976,0.366,-1.280,0.579
1744040484159,2025-04-07T18.41.24.159,2.997,0.152,-1.250,0.335
1744040484179,2025-04-07T18.41.24.179,3.017,0.244,-1.189,0.091
1744040484200,2025-04-07T18.41.24.200,3.038,0.122,-0.488,0.335
1744040484219,2025-04-07T18.41.24.219,3.057,-0.457,0.396,0.457
1744040484239,2025-04-07T18.41.24.239,3.077,0.030,0.915,0.213
1744040484260,2025-04-07T18.41.24.260,3.098,-0.701,0.945,0.061
1744040484280,2025-04-07T18.41.24.280,3.118,-0.335,0.671,-0.274
1744040484301,2025-04-07T18.41.24.301,3.139,-0.061,0.701,-0.305
1744040484321,2025-04-07T18.41.24.321,3.159,0.122,0.488,-0.396
1744040484340,2025-04-07T18.41.24.340,3.178,-0.244,0.335,0.000
1744040484361,2025-04-07T18.41.24.361,3.199,-0.366,0.030,0.183
1744040484381,2025-04-07T18.41.24.381,3.219,-0.305,-0.427,0.244
1744040484402,2025-04-07T18.41.24.402,3.240,-0.213,-0.762,0.244
1744040484422,2025-04-07T18.41.24.422,3.260,0.457,-0.945,0.061
1744040484443,2025-04-07T18.41.24.443,3.281,-0.305,-0.793,0.274
1744040484462,2025-04-07T18.41.24.462,3.300,-0.396,-0.945,0.061
1744040484483,2025-04-07T18.41.24.483,3.321,-0.091,-0.640,-0.091
1744040484503,2025-04-07T18.41.24.503,3.341,-0.244,-0.366,0.122
1744040484524,2025-04-07T18.41.24.524,3.362,-0.488,-0.427,0.244
1744040484544,2025-04-07T18.41.24.544,3.382,-0.732,-0.640,-0.213
1744040484563,2025-04-07T18.41.24.563,3.401,-0.976,-0.915,-0.427
1744040484584,2025-04-07T18.41.24.584,3.422,-1.037,-1.341,-0.122
1744040484604,2025-04-07T18.41.24.604,3.442,-0.396,-1.037,0.488
1744040484625,2025-04-07T18.41.24.625,3.463,-0.884,-0.762,0.854
1744040484645,2025-04-07T18.41.24.645,3.483,-0.183,-1.311,0.488
1744040484666,2025-04-07T18.41.24.666,3.504,-0.884,-1.433,0.762
1744040484685,2025-04-07T18.41.24.685,3.523,0.000,-1.250,0.732
1744040484705,2025-04-07T18.41.24.705,3.543,0.305,-0.823,0.518
1744040484726,2025-04-07T18.41.24.726,3.564,0.091,-0.427,0.213
1744040484746,2025-04-07T18.41.24.746,3.584,0.488,-0.213,-0.122
1744040484767,2025-04-07T18.41.24.767,3.605,0.305,0.091,-0.122
1744040484787,2025-04-07T18.41.24.787,3.625,0.518,0.366,-0.061
1744040484806,2025-04-07T18.41.24.806,3.644,0.457,-0.427,-0.762
1744040484827,2025-04-07T18.41.24.827,3.665,-0.518,-0.488,-0.640
1744040484847,2025-04-07T18.41.24.847,3.685,0.000,-0.091,-0.213
1744040484868,2025-04-07T18.41.24.868,3.706,0.122,0.183,-0.122
1744040484888,2025-04-07T18.41.24.888,3.726,0.305,-0.213,-0.610
1744040484909,2025-04-07T18.41.24.909,3.747,0.854,-0.366,-1.341
1744040484928,2025-04-07T18.41.24.928,3.766,0.488,-1.250,-2.073
1744040484948,2025-04-07T18.41.24.948,3.786,0.518,-1.677,-2.439
1744040484969,2025-04-07T18.41.24.969,3.807,0.152,-1.372,-2.073
1744040484989,2025-04-07T18.41.24.989,3.827,0.549,0.244,-1.494
1744040485010,2025-04-07T18.41.25.010,3.848,0.884,1.128,-1.037
1744040485029,2025-04-07T18.41.25.029,3.867,0.762,0.061,-1.220
1744040485049,2025-04-07T18.41.25.049,3.887,0.945,-0.701,-0.823
1744040485070,2025-04-07T18.41.25.070,3.908,0.030,-0.274,0.030
1744040485090,2025-04-07T18.41.25.090,3.928,-1.341,-0.488,0.335
1744040485111,2025-04-07T18.41.25.111,3.949,-0.884,-0.701,0.122
1744040485131,2025-04-07T18.41.25.131,3.969,0.518,-1.646,-0.427
1744040485152,2025-04-07T18.41.25.152,3.990,0.762,-3.201,-0.488
1744040485171,2025-04-07T18.41.25.171,4.009,-0.305,-4.329,-0.518
1744040485191,2025-04-07T18.41.25.191,4.029,0.854,-2.774,-0.335
1744040485212,2025-04-07T18.41.25.212,4.050,2.012,-2.073,-0.183
1744040485233,2025-04-07T18.41.25.233,4.071,3.689,-2.409,-0.610
1744040485253,2025-04-07T18.41.25.253,4.091,4.665,-3.140,-1.341
1744040485272,2025-04-07T18.41.25.272,4.110,3.780,-5.122,-1.921
1744040485293,2025-04-07T18.41.25.293,4.131,4.726,-5.854,-2.043
1744040485313,2025-04-07T18.41.25.313,4.151,2.287,-7.256,-1.616
1744040485334,2025-04-07T18.41.25.334,4.172,0.732,-5.640,-0.732
1744040485354,2025-04-07T18.41.25.354,4.192,0.701,-1.250,-0.091
1744040485373,2025-04-07T18.41.25.373,4.211,1.738,1.280,-0.823
1744040485394,2025-04-07T18.41.25.394,4.232,7.043,3.110,-2.530
