epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1744040485414,2025-04-07T18.41.25.414,4.252,7.073,5.030,-2.134
1744040485435,2025-04-07T18.41.25.435,4.273,-0.915,3.232,-0.183
1744040485455,2025-04-07T18.41.25.455,4.293,-1.829,0.152,-0.122
1744040485476,2025-04-07T18.41.25.476,4.314,0.915,-1.220,0.122
1744040485495,2025-04-07T18.41.25.495,4.333,1.372,-1.616,0.854
1744040485515,2025-04-07T18.41.25.515,4.353,0.091,-2.317,1.280
1744040485536,2025-04-07T18.41.25.536,4.374,-0.183,-1.860,1.372
1744040485556,2025-04-07T18.41.25.556,4.394,0.671,-0.122,1.220
1744040485577,2025-04-07T18.41.25.577,4.415,0.152,1.250,0.549
1744040485597,2025-04-07T18.41.25.597,4.435,1.280,1.372,-1.372
1744040485616,2025-04-07T18.41.25.616,4.454,1.006,1.006,-2.165
1744040485637,2025-04-07T18.41.25.637,4.475,0.244,1.098,-2.317
1744040485657,2025-04-07T18.41.25.657,4.495,0.427,0.396,-2.957
1744040485678,2025-04-07T18.41.25.678,4.516,1.280,-0.793,-3.354
1744040485698,2025-04-07T18.41.25.698,4.536,0.610,-1.677,-2.805
1744040485719,2025-04-07T18.41.25.719,4.557,-0.305,-1.067,-1.707
1744040485738,2025-04-07T18.41.25.738,4.576,-0.335,-1.311,-1.220
1744040485758,2025-04-07T18.41.25.758,4.596,0.091,-2.073,-1.220
1744040485779,2025-04-07T18.41.25.779,4.617,-0.030,-1.738,-0.152
1744040485799,2025-04-07T18.41.25.799,4.637,0.122,-1.372,0.701
1744040485820,2025-04-07T18.41.25.820,4.658,0.244,-0.732,1.433
1744040485839,2025-04-07T18.41.25.839,4.677,-0.274,-0.518,1.738
1744040485859,2025-04-07T18.41.25.859,4.697,0.091,-0.640,1.677
1744040485880,2025-04-07T18.41.25.880,4.718,0.122,-1.890,1.128
1744040485900,2025-04-07T18.41.25.900,4.738,0.152,-2.409,0.823
1744040485921,2025-04-07T18.41.25.921,4.759,0.884,-2.591,0.061
1744040485941,2025-04-07T18.41.25.941,4.779,1.128,-2.561,-0.518
1744040485961,2025-04-07T18.41.25.961,4.799,0.457,-2.927,-0.762
1744040485981,2025-04-07T18.41.25.981,4.819,1.098,-2.988,-1.159
1744040486002,2025-04-07T18.41.26.002,4.840,0.823,-2.317,-0.793
1744040486022,2025-04-07T18.41.26.022,4.860,0.244,-2.073,-0.549
1744040486043,2025-04-07T18.41.26.043,4.881,0.305,-3.323,-1.402
1744040486063,2025-04-07T18.41.26.063,4.901,-0.244,-4.756,-1.585
1744040486082,2025-04-07T18.41.26.082,4.920,-0.793,-3.445,-1.006
1744040486103,2025-04-07T18.41.26.103,4.941,-1.463,-2.470,-0.915
1744040486123,2025-04-07T18.41.26.123,4.961,-0.671,-3.445,-2.012
1744040486144,2025-04-07T18.41.26.144,4.982,-0.640,-3.841,-2.073
1744040486164,2025-04-07T18.41.26.164,5.002,-0.610,-3.354,-1.402
1744040486185,2025-04-07T18.41.26.185,5.023,-0.915,-2.835,-0.610
1744040486204,2025-04-07T18.41.26.204,5.042,-0.793,-3.140,-0.793
1744040486224,2025-04-07T18.41.26.224,5.062,-1.372,-3.049,-0.671
1744040486245,2025-04-07T18.41.26.245,5.083,-1.890,-2.043,-0.488
1744040486265,2025-04-07T18.41.26.265,5.103,-0.976,-0.701,-0.915
1744040486286,2025-04-07T18.41.26.286,5.124,-0.854,-0.671,-1.463
1744040486305,2025-04-07T18.41.26.305,5.143,-0.915,-0.976,-2.073
1744040486325,2025-04-07T18.41.26.325,5.163,-1.738,-0.427,-1.799
1744040486346,2025-04-07T18.41.26.346,5.184,-1.860,0.122,-1.250
1744040486366,2025-04-07T18.41.26.366,5.204,-1.159,0.427,-0.762
1744040486387,2025-04-07T18.41.26.387,5.225,-0.610,-0.549,-0.854
1744040486407,2025-04-07T18.41.26.407,5.245,-0.183,-1.372,-0.884
1744040486426,2025-04-07T18.41.26.426,5.264,0.305,-1.585,-0.244
1744040486447,2025-04-07T18.41.26.447,5.285,1.311,-2.073,0.000
1744040486467,2025-04-07T18.41.26.467,5.305,2.104,-2.652,-0.061
1744040486488,2025-04-07T18.41.26.488,5.326,1.890,-3.293,-0.244
1744040486508,2025-04-07T18.41.26.508,5.346,2.012,-2.896,0.213
1744040486529,2025-04-07T18.41.26.529,5.367,2.500,-2.256,0.823
1744040486548,2025-04-07T18.41.26.548,5.386,1.738,-2.104,0.976
1744040486568,2025-04-07T18.41.26.568,5.406,0.488,-1.585,0.579
1744040486589,2025-04-07T18.41.26.589,5.427,0.518,0.122,0.427
1744040486609,2025-04-07T18.41.26.609,5.447,0.671,1.890,0.366
1744040486630,2025-04-07T18.41.26.630,5.468,0.061,2.622,0.061
1744040486650,2025-04-07T18.41.26.650,5.488,-0.183,1.677,-0.793
1744040486670,2025-04-07T18.41.26.670,5.508,-0.457,1.006,-1.037
1744040486690,2025-04-07T18.41.26.690,5.528,-0.549,1.616,-0.335
1744040486711,2025-04-07T18.41.26.711,5.549,0.000,1.555,0.335
1744040486731,2025-04-07T18.41.26.731,5.569,0.427,0.457,0.793
1744040486752,2025-04-07T18.41.26.752,5.590,0.061,-0.762,1.067
1744040486771,2025-04-07T18.41.26.771,5.609,1.037,-1.311,1.098
1744040486791,2025-04-07T18.41.26.791,5.629,0.579,-1.159,1.616
1744040486812,2025-04-07T18.41.26.812,5.650,0.427,-1.006,1.951
1744040486832,2025-04-07T18.41.26.832,5.670,0.976,-1.189,1.616
1744040486853,2025-04-07T18.41.26.853,5.691,0.732,-0.854,1.555
1744040486873,2025-04-07T18.41.26.873,5.711,0.274,-1.159,1.250
1744040486892,2025-04-07T18.41.26.892,5.730,0.274,-1.738,0.335
1744040486913,2025-04-07T18.41.26.913,5.751,0.335,-1.768,0.000
1744040486933,2025-04-07T18.41.26.933,5.771,0.030,-1.402,-0.183
1744040486954,2025-04-07T18.41.26.954,5.792,0.091,-1.067,-0.427
1744040486974,2025-04-07T18.41.26.974,5.812,0.061,-0.793,-0.671
1744040486995,2025-04-07T18.41.26.995,5.833,0.274,-0.518,-0.823
1744040487014,2025-04-07T18.41.27.014,5.852,0.366,-0.244,-1.189
1744040487034,2025-04-07T18.41.27.034,5.872,0.366,-0.640,-1.616
1744040487055,2025-04-07T18.41.27.055,5.893,1.341,-0.671,-1.585
1744040487075,2025-04-07T18.41.27.075,5.913,2.012,-0.457,-1.341
1744040487096,2025-04-07T18.41.27.096,5.934,2.348,-0.671,-1.159
1744040487115,2025-04-07T18.41.27.115,5.953,2.317,-1.037,-0.884
1744040487135,2025-04-07T18.41.27.135,5.973,1.585,-0.976,-0.091
1744040487156,2025-04-07T18.41.27.156,5.994,0.457,-0.671,0.518
1744040487176,2025-04-07T18.41.27.176,6.014,0.213,-0.457,1.037
1744040487197,2025-04-07T18.41.27.197,6.035,0.122,-1.189,0.488
1744040487217,2025-04-07T18.41.27.217,6.055,-0.610,-1.220,0.366
1744040487236,2025-04-07T18.41.27.236,6.074,-0.701,-1.037,0.183
1744040487257,2025-04-07T18.41.27.257,6.095,-1.098,-0.579,0.305
1744040487277,2025-04-07T18.41.27.277,6.115,-1.159,-0.701,-0.213
1744040487298,2025-04-07T18.41.27.298,6.136,-0.884,-1.494,-0.793
1744040487318,2025-04-07T18.41.27.318,6.156,-0.640,-1.433,-0.640
1744040487339,2025-04-07T18.41.27.339,6.177,-0.671,-1.006,-0.091
1744040487358,2025-04-07T18.41.27.358,6.196,-0.915,-1.067,0.305
1744040487378,2025-04-07T18.41.27.378,6.216,-0.610,-1.098,0.183
1744040487399,2025-04-07T18.41.27.399,6.237,-0.762,-0.671,0.427
1744040487420,2025-04-07T18.41.27.420,6.258,0.183,-0.671,0.366
1744040487440,2025-04-07T18.41.27.440,6.278,0.701,-1.220,0.091
1744040487461,2025-04-07T18.41.27.461,6.299,0.366,-1.494,0.122
1744040487480,2025-04-07T18.41.27.480,6.318,-0.122,-1.555,0.305
1744040487500,2025-04-07T18.41.27.500,6.338,-0.061,-1.311,0.457
1744040487521,2025-04-07T18.41.27.521,6.359,-0.091,-1.189,0.396
1744040487541,2025-04-07T18.41.27.541,6.379,-0.640,-1.037,-0.061
1744040487562,2025-04-07T18.41.27.562,6.400,-0.884,-0.549,-0.213
1744040487581,2025-04-07T18.41.27.581,6.419,-0.549,-0.152,0.030
1744040487601,2025-04-07T18.41.27.601,6.439,-0.091,-0.610,0.122
1744040487622,2025-04-07T18.41.27.622,6.460,0.335,-0.884,-0.213
1744040487642,2025-04-07T18.41.27.642,6.480,0.183,-0.488,-0.091
1744040487663,2025-04-07T18.41.27.663,6.501,-0.671,-0.030,0.610
1744040487683,2025-04-07T18.41.27.683,6.521,0.030,-0.335,0.457
1744040487702,2025-04-07T18.41.27.702,6.540,0.152,-0.701,0.122
1744040487723,2025-04-07T18.41.27.723,6.561,-0.030,-1.037,-0.122
1744040487743,2025-04-07T18.41.27.743,6.581,0.427,-0.884,-0.061
1744040487764,2025-04-07T18.41.27.764,6.602,0.976,-0.701,0.244
1744040487784,2025-04-07T18.41.27.784,6.622,1.098,-0.884,0.152
1744040487805,2025-04-07T18.41.27.805,6.643,0.366,-0.976,0.061
1744040487824,2025-04-07T18.41.27.824,6.662,0.457,-0.549,-0.061
1744040487844,2025-04-07T18.41.27.844,6.682,0.274,-0.305,-0.274
1744040487865,2025-04-07T18.41.27.865,6.703,0.366,-0.610,-0.732
1744040487885,2025-04-07T18.41.27.885,6.723,-0.030,-0.274,-0.213
1744040487906,2025-04-07T18.41.27.906,6.744,-0.122,0.183,0.366
1744040487925,2025-04-07T18.41.27.925,6.763,0.183,0.305,0.884
1744040487945,2025-04-07T18.41.27.945,6.783,-0.518,-0.762,0.793
1744040487966,2025-04-07T18.41.27.966,6.804,-0.030,-1.646,0.427
1744040487986,2025-04-07T18.41.27.986,6.824,-1.616,-1.128,1.372
1744040488007,2025-04-07T18.41.28.007,6.845,-1.707,-0.396,1.829
1744040488027,2025-04-07T18.41.28.027,6.865,-0.732,0.061,1.463
1744040488046,2025-04-07T18.41.28.046,6.884,-1.799,-0.213,0.793
1744040488067,2025-04-07T18.41.28.067,6.905,-1.006,-0.732,0.244
1744040488087,2025-04-07T18.41.28.087,6.925,-0.244,-0.854,0.122
1744040488108,2025-04-07T18.41.28.108,6.946,0.061,-1.006,-0.030
1744040488128,2025-04-07T18.41.28.128,6.966,0.122,-1.341,-0.610
1744040488149,2025-04-07T18.41.28.149,6.987,0.457,-1.341,-0.945
1744040488168,2025-04-07T18.41.28.168,7.006,0.274,-1.189,-0.854
1744040488189,2025-04-07T18.41.28.189,7.027,0.122,-1.006,-0.823
1744040488209,2025-04-07T18.41.28.209,7.047,0.213,-0.671,-0.671
1744040488230,2025-04-07T18.41.28.230,7.068,0.091,-0.762,-0.579
1744040488250,2025-04-07T18.41.28.250,7.088,0.091,-0.854,-0.396
1744040488271,2025-04-07T18.41.28.271,7.109,0.183,-1.098,-0.488
1744040488290,2025-04-07T18.41.28.290,7.128,0.183,-1.159,-0.518
1744040488310,2025-04-07T18.41.28.310,7.148,0.030,-0.945,-0.335
1744040488331,2025-04-07T18.41.28.331,7.169,-0.061,-0.915,-0.335
1744040488351,2025-04-07T18.41.28.351,7.189,0.366,-1.006,-0.335
1744040488372,2025-04-07T18.41.28.372,7.210,-0.030,-0.915,-0.122
1744040488391,2025-04-07T18.41.28.391,7.229,-0.457,-0.915,-0.274
