epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1744041121551,2025-04-07T18.52.01.551,0.000,0.151,-0.938,-0.237
1744041121572,2025-04-07T18.52.01.572,0.021,0.158,-0.952,-0.238
1744041121592,2025-04-07T18.52.01.592,0.041,0.155,-0.943,-0.235
1744041121613,2025-04-07T18.52.01.613,0.062,0.160,-0.941,-0.232
1744041121633,2025-04-07T18.52.01.633,0.082,0.162,-0.945,-0.229
1744041121654,2025-04-07T18.52.01.654,0.103,0.161,-0.946,-0.231
1744041121673,2025-04-07T18.52.01.673,0.122,0.165,-0.952,-0.232
1744041121693,2025-04-07T18.52.01.693,0.142,0.162,-0.939,-0.234
1744041121714,2025-04-07T18.52.01.714,0.163,0.157,-0.943,-0.236
1744041121734,2025-04-07T18.52.01.734,0.183,0.163,-0.949,-0.234
1744041121755,2025-04-07T18.52.01.755,0.204,0.161,-0.945,-0.226
1744041121774,2025-04-07T18.52.01.774,0.223,0.159,-0.942,-0.222
1744041121794,2025-04-07T18.52.01.794,0.243,0.161,-0.949,-0.221
1744041121815,2025-04-07T18.52.01.815,0.264,0.157,-0.938,-0.232
1744041121835,2025-04-07T18.52.01.835,0.284,0.165,-0.951,-0.237
1744041121856,2025-04-07T18.52.01.856,0.305,0.163,-0.940,-0.229
1744041121876,2025-04-07T18.52.01.876,0.325,0.162,-0.936,-0.229
1744041121896,2025-04-07T18.52.01.896,0.345,0.165,-0.937,-0.234
1744041121916,2025-04-07T18.52.01.916,0.365,0.167,-0.955,-0.224
1744041121937,2025-04-07T18.52.01.937,0.386,0.170,-0.953,-0.215
1744041121957,2025-04-07T18.52.01.957,0.406,0.164,-0.931,-0.217
1744041121978,2025-04-07T18.52.01.978,0.427,0.161,-0.932,-0.234
1744041121998,2025-04-07T18.52.01.998,0.447,0.164,-0.945,-0.240
1744041122017,2025-04-07T18.52.02.017,0.466,0.164,-0.942,-0.230
1744041122038,2025-04-07T18.52.02.038,0.487,0.157,-0.947,-0.223
1744041122058,2025-04-07T18.52.02.058,0.507,0.161,-0.955,-0.224
1744041122079,2025-04-07T18.52.02.079,0.528,0.164,-0.952,-0.226
1744041122099,2025-04-07T18.52.02.099,0.548,0.162,-0.945,-0.229
1744041122118,2025-04-07T18.52.02.118,0.567,0.163,-0.942,-0.236
1744041122139,2025-04-07T18.52.02.139,0.588,0.158,-0.934,-0.231
1744041122159,2025-04-07T18.52.02.159,0.608,0.156,-0.938,-0.228
1744041122180,2025-04-07T18.52.02.180,0.629,0.161,-0.944,-0.229
1744041122200,2025-04-07T18.52.02.200,0.649,0.159,-0.960,-0.229
1744041122221,2025-04-07T18.52.02.221,0.670,0.156,-0.959,-0.222
1744041122240,2025-04-07T18.52.02.240,0.689,0.156,-0.947,-0.222
1744041122260,2025-04-07T18.52.02.260,0.709,0.158,-0.938,-0.224
1744041122281,2025-04-07T18.52.02.281,0.730,0.155,-0.935,-0.221
1744041122301,2025-04-07T18.52.02.301,0.750,0.156,-0.937,-0.220
1744041122322,2025-04-07T18.52.02.322,0.771,0.155,-0.952,-0.219
1744041122342,2025-04-07T18.52.02.342,0.791,0.149,-0.961,-0.212
1744041122361,2025-04-07T18.52.02.361,0.810,0.155,-0.968,-0.212
1744041122382,2025-04-07T18.52.02.382,0.831,0.158,-0.961,-0.211
1744041122402,2025-04-07T18.52.02.402,0.851,0.155,-0.936,-0.208
1744041122423,2025-04-07T18.52.02.423,0.872,0.160,-0.937,-0.217
1744041122443,2025-04-07T18.52.02.443,0.892,0.165,-0.943,-0.224
1744041122464,2025-04-07T18.52.02.464,0.913,0.166,-0.943,-0.225
1744041122483,2025-04-07T18.52.02.483,0.932,0.161,-0.943,-0.229
1744041122503,2025-04-07T18.52.02.503,0.952,0.161,-0.947,-0.227
1744041122524,2025-04-07T18.52.02.524,0.973,0.159,-0.943,-0.221
1744041122544,2025-04-07T18.52.02.544,0.993,0.158,-0.942,-0.214
1744041122565,2025-04-07T18.52.02.565,1.014,0.156,-0.940,-0.217
1744041122584,2025-04-07T18.52.02.584,1.033,0.156,-0.946,-0.218
1744041122605,2025-04-07T18.52.02.605,1.054,0.155,-0.947,-0.217
1744041122625,2025-04-07T18.52.02.625,1.074,0.157,-0.957,-0.219
1744041122646,2025-04-07T18.52.02.646,1.095,0.157,-0.959,-0.219
1744041122666,2025-04-07T18.52.02.666,1.115,0.155,-0.947,-0.222
1744041122687,2025-04-07T18.52.02.687,1.136,0.153,-0.939,-0.227
