epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1744041122706,2025-04-07T18.52.02.706,1.155,0.151,-0.942,-0.229
1744041122726,2025-04-07T18.52.02.726,1.175,0.152,-0.953,-0.226
1744041122747,2025-04-07T18.52.02.747,1.196,0.151,-0.953,-0.224
1744041122767,2025-04-07T18.52.02.767,1.216,0.157,-0.959,-0.229
1744041122788,2025-04-07T18.52.02.788,1.237,0.154,-0.955,-0.227
1744041122808,2025-04-07T18.52.02.808,1.257,0.151,-0.942,-0.226
1744041122827,2025-04-07T18.52.02.827,1.276,0.150,-0.937,-0.222
1744041122848,2025-04-07T18.52.02.848,1.297,0.153,-0.939,-0.216
1744041122868,2025-04-07T18.52.02.868,1.317,0.156,-0.953,-0.214
1744041122889,2025-04-07T18.52.02.889,1.338,0.158,-0.953,-0.220
1744041122909,2025-04-07T18.52.02.909,1.358,0.156,-0.950,-0.222
1744041122930,2025-04-07T18.52.02.930,1.379,0.153,-0.951,-0.222
1744041122949,2025-04-07T18.52.02.949,1.398,0.155,-0.945,-0.219
1744041122969,2025-04-07T18.52.02.969,1.418,0.157,-0.941,-0.213
1744041122990,2025-04-07T18.52.02.990,1.439,0.155,-0.946,-0.218
1744041123010,2025-04-07T18.52.03.010,1.459,0.152,-0.946,-0.225
1744041123031,2025-04-07T18.52.03.031,1.480,0.154,-0.950,-0.231
1744041123051,2025-04-07T18.52.03.051,1.500,0.158,-0.940,-0.229
1744041123070,2025-04-07T18.52.03.070,1.519,0.161,-0.936,-0.222
1744041123091,2025-04-07T18.52.03.091,1.540,0.152,-0.931,-0.222
1744041123111,2025-04-07T18.52.03.111,1.560,0.152,-0.931,-0.224
1744041123132,2025-04-07T18.52.03.132,1.581,0.155,-0.939,-0.224
1744041123152,2025-04-07T18.52.03.152,1.601,0.152,-0.940,-0.226
1744041123171,2025-04-07T18.52.03.171,1.620,0.144,-0.949,-0.223
1744041123192,2025-04-07T18.52.03.192,1.641,0.152,-0.962,-0.217
1744041123212,2025-04-07T18.52.03.212,1.661,0.147,-0.966,-0.217
1744041123233,2025-04-07T18.52.03.233,1.682,0.145,-0.969,-0.229
1744041123253,2025-04-07T18.52.03.253,1.702,0.144,-0.965,-0.232
1744041123274,2025-04-07T18.52.03.274,1.723,0.143,-0.953,-0.227
1744041123293,2025-04-07T18.52.03.293,1.742,0.146,-0.954,-0.221
1744041123314,2025-04-07T18.52.03.314,1.763,0.138,-0.940,-0.231
1744041123334,2025-04-07T18.52.03.334,1.783,0.146,-0.945,-0.241
1744041123355,2025-04-07T18.52.03.355,1.804,0.150,-0.949,-0.233
1744041123375,2025-04-07T18.52.03.375,1.824,0.143,-0.944,-0.226
1744041123396,2025-04-07T18.52.03.396,1.845,0.137,-0.944,-0.236
1744041123415,2025-04-07T18.52.03.415,1.864,0.142,-0.939,-0.252
1744041123435,2025-04-07T18.52.03.435,1.884,0.150,-0.959,-0.250
1744041123456,2025-04-07T18.52.03.456,1.905,0.151,-0.951,-0.239
1744041123476,2025-04-07T18.52.03.476,1.925,0.145,-0.943,-0.230
1744041123497,2025-04-07T18.52.03.497,1.946,0.145,-0.957,-0.229
1744041123516,2025-04-07T18.52.03.516,1.965,0.154,-0.952,-0.232
1744041123536,2025-04-07T18.52.03.536,1.985,0.152,-0.951,-0.225
1744041123557,2025-04-07T18.52.03.557,2.006,0.151,-0.942,-0.225
1744041123577,2025-04-07T18.52.03.577,2.026,0.148,-0.939,-0.228
1744041123598,2025-04-07T18.52.03.598,2.047,0.154,-0.947,-0.225
1744041123618,2025-04-07T18.52.03.618,2.067,0.151,-0.936,-0.223
1744041123637,2025-04-07T18.52.03.637,2.086,0.148,-0.939,-0.227
1744041123658,2025-04-07T18.52.03.658,2.107,0.151,-0.940,-0.236
1744041123678,2025-04-07T18.52.03.678,2.127,0.150,-0.941,-0.238
1744041123699,2025-04-07T18.52.03.699,2.148,0.149,-0.943,-0.239
1744041123719,2025-04-07T18.52.03.719,2.168,0.157,-0.954,-0.234
1744041123740,2025-04-07T18.52.03.740,2.189,0.152,-0.941,-0.230
1744041123759,2025-04-07T18.52.03.759,2.208,0.145,-0.933,-0.236
1744041123779,2025-04-07T18.52.03.779,2.228,0.149,-0.944,-0.240
1744041123800,2025-04-07T18.52.03.800,2.249,0.153,-0.952,-0.237
1744041123820,2025-04-07T18.52.03.820,2.269,0.152,-0.948,-0.233
1744041123841,2025-04-07T18.52.03.841,2.290,0.149,-0.941,-0.237
1744041123861,2025-04-07T18.52.03.861,2.310,0.151,-0.948,-0.235
1744041123880,2025-04-07T18.52.03.880,2.329,0.157,-0.944,-0.235
1744041123901,2025-04-07T18.52.03.901,2.350,0.161,-0.943,-0.236
1744041123921,2025-04-07T18.52.03.921,2.370,0.160,-0.942,-0.241
1744041123942,2025-04-07T18.52.03.942,2.391,0.153,-0.941,-0.239
1744041123962,2025-04-07T18.52.03.962,2.411,0.149,-0.949,-0.236
1744041123981,2025-04-07T18.52.03.981,2.430,0.152,-0.939,-0.234
1744041124002,2025-04-07T18.52.04.002,2.451,0.163,-0.938,-0.229
1744041124022,2025-04-07T18.52.04.022,2.471,0.142,-0.936,-0.239
1744041124043,2025-04-07T18.52.04.043,2.492,0.136,-0.942,-0.258
1744041124064,2025-04-07T18.52.04.064,2.513,0.153,-0.933,-0.260
1744041124084,2025-04-07T18.52.04.084,2.533,0.167,-0.970,-0.259
1744041124103,2025-04-07T18.52.04.103,2.552,0.130,-0.974,-0.261
1744041124124,2025-04-07T18.52.04.124,2.573,0.124,-0.968,-0.242
1744041124144,2025-04-07T18.52.04.144,2.593,0.156,-0.962,-0.215
1744041124165,2025-04-07T18.52.04.165,2.614,0.148,-0.950,-0.207
1744041124185,2025-04-07T18.52.04.185,2.634,0.149,-0.932,-0.208
1744041124206,2025-04-07T18.52.04.206,2.655,0.148,-0.929,-0.203
1744041124225,2025-04-07T18.52.04.225,2.674,0.152,-0.923,-0.206
1744041124245,2025-04-07T18.52.04.245,2.694,0.155,-0.939,-0.220
1744041124266,2025-04-07T18.52.04.266,2.715,0.159,-0.945,-0.225
1744041124286,2025-04-07T18.52.04.286,2.735,0.153,-0.951,-0.220
1744041124307,2025-04-07T18.52.04.307,2.756,0.157,-0.961,-0.216
1744041124326,2025-04-07T18.52.04.326,2.775,0.164,-0.961,-0.213
1744041124346,2025-04-07T18.52.04.346,2.795,0.158,-0.951,-0.213
1744041124367,2025-04-07T18.52.04.367,2.816,0.159,-0.939,-0.211
1744041124387,2025-04-07T18.52.04.387,2.836,0.163,-0.934,-0.216
1744041124408,2025-04-07T18.52.04.408,2.857,0.167,-0.933,-0.217
1744041124428,2025-04-07T18.52.04.428,2.877,0.166,-0.928,-0.213
1744041124447,2025-04-07T18.52.04.447,2.896,0.172,-0.934,-0.209
1744041124468,2025-04-07T18.52.04.468,2.917,0.161,-0.935,-0.203
1744041124488,2025-04-07T18.52.04.488,2.937,0.161,-0.955,-0.194
1744041124509,2025-04-07T18.52.04.509,2.958,0.158,-0.952,-0.198
1744041124529,2025-04-07T18.52.04.529,2.978,0.156,-0.960,-0.208
1744041124550,2025-04-07T18.52.04.550,2.999,0.155,-0.951,-0.215
1744041124569,2025-04-07T18.52.04.569,3.018,0.157,-0.948,-0.216
1744041124589,2025-04-07T18.52.04.589,3.038,0.153,-0.950,-0.212
1744041124610,2025-04-07T18.52.04.610,3.059,0.151,-0.956,-0.209
1744041124630,2025-04-07T18.52.04.630,3.079,0.154,-0.958,-0.206
1744041124651,2025-04-07T18.52.04.651,3.100,0.154,-0.944,-0.208
1744041124670,2025-04-07T18.52.04.670,3.119,0.160,-0.948,-0.216
1744041124690,2025-04-07T18.52.04.690,3.139,0.166,-0.943,-0.211
1744041124711,2025-04-07T18.52.04.711,3.160,0.163,-0.945,-0.206
1744041124731,2025-04-07T18.52.04.731,3.180,0.158,-0.954,-0.208
1744041124752,2025-04-07T18.52.04.752,3.201,0.168,-0.942,-0.212
1744041124772,2025-04-07T18.52.04.772,3.221,0.157,-0.952,-0.210
1744041124792,2025-04-07T18.52.04.792,3.241,0.165,-0.947,-0.200
1744041124812,2025-04-07T18.52.04.812,3.261,0.154,-0.951,-0.199
1744041124833,2025-04-07T18.52.04.833,3.282,0.155,-0.950,-0.201
1744041124853,2025-04-07T18.52.04.853,3.302,0.163,-0.952,-0.198
1744041124874,2025-04-07T18.52.04.874,3.323,0.162,-0.951,-0.205
1744041124894,2025-04-07T18.52.04.894,3.343,0.154,-0.951,-0.203
1744041124913,2025-04-07T18.52.04.913,3.362,0.153,-0.946,-0.193
1744041124934,2025-04-07T18.52.04.934,3.383,0.156,-0.951,-0.196
1744041124954,2025-04-07T18.52.04.954,3.403,0.160,-0.952,-0.201
1744041124975,2025-04-07T18.52.04.975,3.424,0.161,-0.952,-0.200
1744041124995,2025-04-07T18.52.04.995,3.444,0.160,-0.954,-0.204
1744041125014,2025-04-07T18.52.05.014,3.463,0.167,-0.956,-0.196
1744041125035,2025-04-07T18.52.05.035,3.484,0.161,-0.945,-0.185
1744041125055,2025-04-07T18.52.05.055,3.504,0.146,-0.949,-0.183
1744041125076,2025-04-07T18.52.05.076,3.525,0.155,-0.938,-0.185
1744041125096,2025-04-07T18.52.05.096,3.545,0.166,-0.950,-0.195
1744041125117,2025-04-07T18.52.05.117,3.566,0.167,-0.961,-0.199
1744041125136,2025-04-07T18.52.05.136,3.585,0.165,-0.949,-0.198
1744041125156,2025-04-07T18.52.05.156,3.605,0.157,-0.959,-0.191
1744041125177,2025-04-07T18.52.05.177,3.626,0.159,-0.957,-0.188
1744041125197,2025-04-07T18.52.05.197,3.646,0.166,-0.955,-0.192
1744041125218,2025-04-07T18.52.05.218,3.667,0.167,-0.949,-0.206
1744041125238,2025-04-07T18.52.05.238,3.687,0.164,-0.948,-0.211
1744041125257,2025-04-07T18.52.05.257,3.706,0.170,-0.947,-0.202
1744041125278,2025-04-07T18.52.05.278,3.727,0.165,-0.948,-0.199
1744041125298,2025-04-07T18.52.05.298,3.747,0.161,-0.945,-0.204
1744041125319,2025-04-07T18.52.05.319,3.768,0.165,-0.954,-0.211
1744041125339,2025-04-07T18.52.05.339,3.788,0.163,-0.948,-0.218
1744041125358,2025-04-07T18.52.05.358,3.807,0.168,-0.960,-0.218
1744041125379,2025-04-07T18.52.05.379,3.828,0.173,-0.970,-0.214
1744041125399,2025-04-07T18.52.05.399,3.848,0.173,-0.922,-0.203
1744041125420,2025-04-07T18.52.05.420,3.869,0.166,-0.943,-0.199
1744041125440,2025-04-07T18.52.05.440,3.889,0.163,-0.957,-0.203
1744041125461,2025-04-07T18.52.05.461,3.910,0.165,-0.947,-0.204
1744041125480,2025-04-07T18.52.05.480,3.929,0.169,-0.955,-0.200
1744041125501,2025-04-07T18.52.05.501,3.950,0.169,-0.949,-0.200
1744041125521,2025-04-07T18.52.05.521,3.970,0.173,-0.943,-0.209
1744041125542,2025-04-07T18.52.05.542,3.991,0.168,-0.943,-0.215
1744041125562,2025-04-07T18.52.05.562,4.011,0.168,-0.950,-0.213
1744041125583,2025-04-07T18.52.05.583,4.032,0.171,-0.948,-0.200
1744041125602,2025-04-07T18.52.05.602,4.051,0.169,-0.948,-0.197
1744041125622,2025-04-07T18.52.05.622,4.071,0.167,-0.947,-0.203
1744041125643,2025-04-07T18.52.05.643,4.092,0.169,-0.943,-0.203
1744041125663,2025-04-07T18.52.05.663,4.112,0.171,-0.954,-0.198
1744041125684,2025-04-07T18.52.05.684,4.133,0.166,-0.949,-0.195
1744041125704,2025-04-07T18.52.05.704,4.153,0.161,-0.943,-0.198
1744041125723,2025-04-07T18.52.05.723,4.172,0.167,-0.945,-0.208
1744041125744,2025-04-07T18.52.05.744,4.193,0.169,-0.952,-0.211
1744041125764,2025-04-07T18.52.05.764,4.213,0.168,-0.949,-0.203
1744041125785,2025-04-07T18.52.05.785,4.234,0.157,-0.947,-0.207
1744041125805,2025-04-07T18.52.05.805,4.254,0.163,-0.947,-0.216
1744041125824,2025-04-07T18.52.05.824,4.273,0.170,-0.951,-0.220
1744041125845,2025-04-07T18.52.05.845,4.294,0.169,-0.953,-0.216
1744041125865,2025-04-07T18.52.05.865,4.314,0.166,-0.961,-0.214
1744041125886,2025-04-07T18.52.05.886,4.335,0.170,-0.960,-0.210
1744041125906,2025-04-07T18.52.05.906,4.355,0.178,-0.957,-0.196
1744041125927,2025-04-07T18.52.05.927,4.376,0.171,-0.948,-0.196
1744041125946,2025-04-07T18.52.05.946,4.395,0.167,-0.938,-0.208
1744041125966,2025-04-07T18.52.05.966,4.415,0.167,-0.937,-0.221
1744041125987,2025-04-07T18.52.05.987,4.436,0.171,-0.944,-0.220
1744041126007,2025-04-07T18.52.06.007,4.456,0.174,-0.946,-0.210
1744041126028,2025-04-07T18.52.06.028,4.477,0.162,-0.956,-0.211
1744041126048,2025-04-07T18.52.06.048,4.497,0.160,-0.948,-0.216
1744041126067,2025-04-07T18.52.06.067,4.516,0.161,-0.940,-0.217
1744041126088,2025-04-07T18.52.06.088,4.537,0.165,-0.939,-0.207
1744041126108,2025-04-07T18.52.06.108,4.557,0.162,-0.936,-0.201
1744041126129,2025-04-07T18.52.06.129,4.578,0.159,-0.949,-0.196
1744041126149,2025-04-07T18.52.06.149,4.598,0.160,-0.956,-0.191
1744041126168,2025-04-07T18.52.06.168,4.617,0.160,-0.961,-0.188
1744041126189,2025-04-07T18.52.06.189,4.638,0.163,-0.955,-0.190
1744041126209,2025-04-07T18.52.06.209,4.658,0.166,-0.955,-0.197
1744041126230,2025-04-07T18.52.06.230,4.679,0.166,-0.952,-0.208
1744041126251,2025-04-07T18.52.06.251,4.700,0.173,-0.948,-0.219
1744041126271,2025-04-07T18.52.06.271,4.720,0.173,-0.943,-0.223
1744041126290,2025-04-07T18.52.06.290,4.739,0.169,-0.937,-0.222
1744041126311,2025-04-07T18.52.06.311,4.760,0.170,-0.945,-0.220
1744041126331,2025-04-07T18.52.06.331,4.780,0.167,-0.948,-0.220
1744041126352,2025-04-07T18.52.06.352,4.801,0.168,-0.960,-0.214
1744041126372,2025-04-07T18.52.06.372,4.821,0.162,-0.946,-0.210
1744041126393,2025-04-07T18.52.06.393,4.842,0.158,-0.935,-0.221
1744041126412,2025-04-07T18.52.06.412,4.861,0.156,-0.933,-0.231
1744041126432,2025-04-07T18.52.06.432,4.881,0.152,-0.944,-0.221
1744041126453,2025-04-07T18.52.06.453,4.902,0.155,-0.956,-0.203
1744041126473,2025-04-07T18.52.06.473,4.922,0.152,-0.953,-0.198
1744041126494,2025-04-07T18.52.06.494,4.943,0.148,-0.952,-0.204
1744041126514,2025-04-07T18.52.06.514,4.963,0.145,-0.948,-0.200
1744041126533,2025-04-07T18.52.06.533,4.982,0.144,-0.950,-0.186
1744041126554,2025-04-07T18.52.06.554,5.003,0.151,-0.941,-0.185
1744041126574,2025-04-07T18.52.06.574,5.023,0.156,-0.948,-0.179
1744041126595,2025-04-07T18.52.06.595,5.044,0.157,-0.943,-0.175
1744041126615,2025-04-07T18.52.06.615,5.064,0.164,-0.941,-0.186
1744041126634,2025-04-07T18.52.06.634,5.083,0.167,-0.944,-0.214
1744041126655,2025-04-07T18.52.06.655,5.104,0.167,-0.938,-0.251
1744041126675,2025-04-07T18.52.06.675,5.124,0.167,-0.930,-0.278
1744041126696,2025-04-07T18.52.06.696,5.145,0.161,-0.937,-0.277
1744041126716,2025-04-07T18.52.06.716,5.165,0.156,-0.939,-0.265
1744041126737,2025-04-07T18.52.06.737,5.186,0.145,-0.937,-0.257
1744041126756,2025-04-07T18.52.06.756,5.205,0.145,-0.937,-0.248
1744041126776,2025-04-07T18.52.06.776,5.225,0.143,-0.943,-0.238
1744041126797,2025-04-07T18.52.06.797,5.246,0.143,-0.964,-0.231
1744041126817,2025-04-07T18.52.06.817,5.266,0.133,-0.975,-0.234
1744041126838,2025-04-07T18.52.06.838,5.287,0.131,-0.978,-0.236
1744041126857,2025-04-07T18.52.06.857,5.306,0.146,-0.975,-0.226
1744041126877,2025-04-07T18.52.06.877,5.326,0.149,-0.972,-0.216
1744041126898,2025-04-07T18.52.06.898,5.347,0.154,-0.957,-0.206
1744041126918,2025-04-07T18.52.06.918,5.367,0.157,-0.946,-0.205
1744041126939,2025-04-07T18.52.06.939,5.388,0.165,-0.947,-0.217
1744041126959,2025-04-07T18.52.06.959,5.408,0.173,-0.931,-0.228
1744041126979,2025-04-07T18.52.06.979,5.428,0.176,-0.921,-0.233
1744041126999,2025-04-07T18.52.06.999,5.448,0.178,-0.926,-0.225
1744041127020,2025-04-07T18.52.07.020,5.469,0.176,-0.927,-0.229
1744041127040,2025-04-07T18.52.07.040,5.489,0.173,-0.939,-0.241
1744041127061,2025-04-07T18.52.07.061,5.510,0.168,-0.934,-0.250
1744041127081,2025-04-07T18.52.07.081,5.530,0.159,-0.929,-0.256
1744041127100,2025-04-07T18.52.07.100,5.549,0.157,-0.936,-0.252
1744041127121,2025-04-07T18.52.07.121,5.570,0.151,-0.943,-0.235
1744041127141,2025-04-07T18.52.07.141,5.590,0.149,-0.957,-0.222
1744041127162,2025-04-07T18.52.07.162,5.611,0.146,-0.961,-0.222
1744041127182,2025-04-07T18.52.07.182,5.631,0.145,-0.950,-0.236
1744041127201,2025-04-07T18.52.07.201,5.650,0.142,-0.945,-0.254
1744041127222,2025-04-07T18.52.07.222,5.671,0.145,-0.944,-0.252
1744041127242,2025-04-07T18.52.07.242,5.691,0.149,-0.951,-0.231
1744041127263,2025-04-07T18.52.07.263,5.712,0.153,-0.949,-0.225
1744041127283,2025-04-07T18.52.07.283,5.732,0.155,-0.941,-0.236
1744041127304,2025-04-07T18.52.07.304,5.753,0.157,-0.936,-0.248
1744041127323,2025-04-07T18.52.07.323,5.772,0.155,-0.933,-0.251
1744041127343,2025-04-07T18.52.07.343,5.792,0.158,-0.939,-0.244
1744041127364,2025-04-07T18.52.07.364,5.813,0.163,-0.951,-0.233
1744041127384,2025-04-07T18.52.07.384,5.833,0.161,-0.954,-0.229
1744041127405,2025-04-07T18.52.07.405,5.854,0.161,-0.948,-0.233
1744041127425,2025-04-07T18.52.07.425,5.874,0.156,-0.943,-0.235
1744041127444,2025-04-07T18.52.07.444,5.893,0.160,-0.944,-0.233
1744041127465,2025-04-07T18.52.07.465,5.914,0.156,-0.947,-0.227
1744041127485,2025-04-07T18.52.07.485,5.934,0.155,-0.948,-0.226
1744041127506,2025-04-07T18.52.07.506,5.955,0.151,-0.936,-0.227
1744041127526,2025-04-07T18.52.07.526,5.975,0.153,-0.938,-0.232
1744041127545,2025-04-07T18.52.07.545,5.994,0.153,-0.932,-0.237
1744041127566,2025-04-07T18.52.07.566,6.015,0.155,-0.944,-0.235
1744041127586,2025-04-07T18.52.07.586,6.035,0.152,-0.954,-0.230
1744041127607,2025-04-07T18.52.07.607,6.056,0.150,-0.947,-0.245
1744041127627,2025-04-07T18.52.07.627,6.076,0.154,-0.948,-0.251
1744041127648,2025-04-07T18.52.07.648,6.097,0.155,-0.943,-0.233
1744041127667,2025-04-07T18.52.07.667,6.116,0.158,-0.939,-0.230
1744041127688,2025-04-07T18.52.07.688,6.137,0.155,-0.928,-0.242
1744041127708,2025-04-07T18.52.07.708,6.157,0.159,-0.937,-0.247
1744041127729,2025-04-07T18.52.07.729,6.178,0.161,-0.950,-0.238
1744041127749,2025-04-07T18.52.07.749,6.198,0.162,-0.950,-0.240
1744041127770,2025-04-07T18.52.07.770,6.219,0.161,-0.947,-0.251
1744041127789,2025-04-07T18.52.07.789,6.238,0.159,-0.949,-0.243
1744041127809,2025-04-07T18.52.07.809,6.258,0.159,-0.945,-0.234
1744041127830,2025-04-07T18.52.07.830,6.279,0.161,-0.942,-0.234
1744041127850,2025-04-07T18.52.07.850,6.299,0.161,-0.932,-0.229
1744041127871,2025-04-07T18.52.07.871,6.320,0.156,-0.937,-0.231
1744041127891,2025-04-07T18.52.07.891,6.340,0.165,-0.941,-0.238
1744041127910,2025-04-07T18.52.07.910,6.359,0.164,-0.949,-0.226
1744041127931,2025-04-07T18.52.07.931,6.380,0.164,-0.945,-0.221
1744041127951,2025-04-07T18.52.07.951,6.400,0.158,-0.942,-0.235
1744041127972,2025-04-07T18.52.07.972,6.421,0.163,-0.945,-0.242
1744041127992,2025-04-07T18.52.07.992,6.441,0.163,-0.945,-0.236
1744041128011,2025-04-07T18.52.08.011,6.460,0.161,-0.947,-0.233
1744041128032,2025-04-07T18.52.08.032,6.481,0.155,-0.943,-0.231
1744041128052,2025-04-07T18.52.08.052,6.501,0.152,-0.940,-0.230
1744041128073,2025-04-07T18.52.08.073,6.522,0.151,-0.943,-0.230
1744041128093,2025-04-07T18.52.08.093,6.542,0.152,-0.949,-0.237
1744041128114,2025-04-07T18.52.08.114,6.563,0.148,-0.958,-0.236
1744041128133,2025-04-07T18.52.08.133,6.582,0.149,-0.952,-0.230
1744041128153,2025-04-07T18.52.08.153,6.602,0.145,-0.958,-0.230
1744041128174,2025-04-07T18.52.08.174,6.623,0.150,-0.950,-0.231
1744041128194,2025-04-07T18.52.08.194,6.643,0.147,-0.940,-0.226
1744041128215,2025-04-07T18.52.08.215,6.664,0.146,-0.940,-0.228
1744041128235,2025-04-07T18.52.08.235,6.684,0.151,-0.941,-0.230
1744041128254,2025-04-07T18.52.08.254,6.703,0.155,-0.934,-0.222
1744041128275,2025-04-07T18.52.08.275,6.724,0.152,-0.926,-0.218
1744041128295,2025-04-07T18.52.08.295,6.744,0.152,-0.936,-0.223
1744041128316,2025-04-07T18.52.08.316,6.765,0.161,-0.937,-0.218
1744041128336,2025-04-07T18.52.08.336,6.785,0.158,-0.951,-0.218
1744041128355,2025-04-07T18.52.08.355,6.804,0.161,-0.949,-0.227
1744041128376,2025-04-07T18.52.08.376,6.825,0.164,-0.953,-0.224
1744041128397,2025-04-07T18.52.08.397,6.846,0.167,-0.944,-0.215
1744041128417,2025-04-07T18.52.08.417,6.866,0.170,-0.952,-0.217
1744041128438,2025-04-07T18.52.08.438,6.887,0.170,-0.947,-0.233
1744041128458,2025-04-07T18.52.08.458,6.907,0.172,-0.944,-0.240
1744041128477,2025-04-07T18.52.08.477,6.926,0.176,-0.948,-0.226
1744041128498,2025-04-07T18.52.08.498,6.947,0.172,-0.956,-0.218
1744041128518,2025-04-07T18.52.08.518,6.967,0.172,-0.954,-0.221
1744041128539,2025-04-07T18.52.08.539,6.988,0.170,-0.949,-0.222
1744041128559,2025-04-07T18.52.08.559,7.008,0.174,-0.947,-0.214
1744041128580,2025-04-07T18.52.08.580,7.029,0.172,-0.943,-0.216
1744041128599,2025-04-07T18.52.08.599,7.048,0.174,-0.948,-0.221
1744041128619,2025-04-07T18.52.08.619,7.068,0.173,-0.945,-0.223
1744041128640,2025-04-07T18.52.08.640,7.089,0.177,-0.949,-0.228
1744041128660,2025-04-07T18.52.08.660,7.109,0.170,-0.938,-0.234
1744041128681,2025-04-07T18.52.08.681,7.130,0.166,-0.945,-0.229
1744041128700,2025-04-07T18.52.08.700,7.149,0.164,-0.954,-0.210
1744041128720,2025-04-07T18.52.08.720,7.169,0.161,-0.958,-0.197
1744041128741,2025-04-07T18.52.08.741,7.190,0.154,-0.932,-0.209
